GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race,zip_pop,prop_His_Lat,prop_Two_more,prop_incl_other,prop_His_Lat_Two_more,prop_His_Lat_incl_other,prop_Two_more_incl_other,prop_His_Lat_Two_more_incl_other
60609,ZCTA5 60609,B03002_011,580,202,No,Two or more races,Excluding,1441,0.4163775156141568,1,0.6884108258154059,0.4163775156141568,0.4024982650936849,0.6884108258154059,0.4024982650936849
60609,ZCTA5 60609,B03002_020,429,194,Yes,Two or more races,Including,1441,0.5836224843858432,1,0.31158917418459403,0.5836224843858432,0.29770992366412213,0.31158917418459403,0.29770992366412213
60609,ZCTA5 60609,B03002_021,412,181,Yes,Two or more races,Excluding,1441,0.5836224843858432,1,0.6884108258154059,0.5836224843858432,0.28591256072172105,0.6884108258154059,0.28591256072172105
60610,ZCTA5 60610,B03002_010,33,35,No,Two or more races,Including,744,0.8360215053763441,1,0.08602150537634409,0.8360215053763441,0.04435483870967742,0.08602150537634409,0.04435483870967742
60610,ZCTA5 60610,B03002_011,589,233,No,Two or more races,Excluding,744,0.8360215053763441,1,0.9139784946236559,0.8360215053763441,0.7916666666666666,0.9139784946236559,0.7916666666666666
60610,ZCTA5 60610,B03002_020,31,41,Yes,Two or more races,Including,744,0.1639784946236559,1,0.08602150537634409,0.1639784946236559,0.041666666666666664,0.08602150537634409,0.041666666666666664
60610,ZCTA5 60610,B03002_021,91,97,Yes,Two or more races,Excluding,744,0.1639784946236559,1,0.9139784946236559,0.1639784946236559,0.12231182795698925,0.9139784946236559,0.12231182795698925
60611,ZCTA5 60611,B03002_010,37,44,No,Two or more races,Including,794,0.9080604534005038,1,0.060453400503778336,0.9080604534005038,0.04659949622166247,0.060453400503778336,0.04659949622166247
60611,ZCTA5 60611,B03002_011,684,334,No,Two or more races,Excluding,794,0.9080604534005038,1,0.9395465994962217,0.9080604534005038,0.8614609571788413,0.9395465994962217,0.8614609571788413
60611,ZCTA5 60611,B03002_020,11,22,Yes,Two or more races,Including,794,0.09193954659949623,1,0.060453400503778336,0.09193954659949623,0.013853904282115869,0.060453400503778336,0.013853904282115869
60611,ZCTA5 60611,B03002_021,62,40,Yes,Two or more races,Excluding,794,0.09193954659949623,1,0.9395465994962217,0.09193954659949623,0.07808564231738035,0.9395465994962217,0.07808564231738035
60612,ZCTA5 60612,B03002_010,82,71,No,Two or more races,Including,835,0.6994011976047905,1,0.3209580838323353,0.6994011976047905,0.09820359281437126,0.3209580838323353,0.09820359281437126
60612,ZCTA5 60612,B03002_011,502,134,No,Two or more races,Excluding,835,0.6994011976047905,1,0.6790419161676646,0.6994011976047905,0.6011976047904192,0.6790419161676646,0.6011976047904192
60612,ZCTA5 60612,B03002_020,186,118,Yes,Two or more races,Including,835,0.3005988023952096,1,0.3209580838323353,0.3005988023952096,0.22275449101796407,0.3209580838323353,0.22275449101796407
60612,ZCTA5 60612,B03002_021,65,55,Yes,Two or more races,Excluding,835,0.3005988023952096,1,0.6790419161676646,0.3005988023952096,0.07784431137724551,0.6790419161676646,0.07784431137724551
60613,ZCTA5 60613,B03002_010,89,73,No,Two or more races,Including,1748,0.8209382151029748,1,0.15045766590389015,0.8209382151029748,0.05091533180778032,0.15045766590389015,0.05091533180778032
60613,ZCTA5 60613,B03002_011,1346,384,No,Two or more races,Excluding,1748,0.8209382151029748,1,0.8495423340961098,0.8209382151029748,0.7700228832951945,0.8495423340961098,0.7700228832951945
60613,ZCTA5 60613,B03002_020,174,145,Yes,Two or more races,Including,1748,0.17906178489702518,1,0.15045766590389015,0.17906178489702518,0.09954233409610984,0.15045766590389015,0.09954233409610984
60613,ZCTA5 60613,B03002_021,139,68,Yes,Two or more races,Excluding,1748,0.17906178489702518,1,0.8495423340961098,0.17906178489702518,0.07951945080091533,0.8495423340961098,0.07951945080091533
60614,ZCTA5 60614,B03002_010,113,58,No,Two or more races,Including,2200,0.925,1,0.08409090909090909,0.925,0.05136363636363636,0.08409090909090909,0.05136363636363636
60614,ZCTA5 60614,B03002_011,1922,415,No,Two or more races,Excluding,2200,0.925,1,0.9159090909090909,0.925,0.8736363636363637,0.9159090909090909,0.8736363636363637
60614,ZCTA5 60614,B03002_020,72,44,Yes,Two or more races,Including,2200,0.075,1,0.08409090909090909,0.075,0.03272727272727273,0.08409090909090909,0.03272727272727273
60614,ZCTA5 60614,B03002_021,93,57,Yes,Two or more races,Excluding,2200,0.075,1,0.9159090909090909,0.075,0.042272727272727274,0.9159090909090909,0.042272727272727274
60615,ZCTA5 60615,B03002_010,127,101,No,Two or more races,Including,1805,0.9218836565096953,1,0.12631578947368421,0.9218836565096953,0.0703601108033241,0.12631578947368421,0.0703601108033241
60615,ZCTA5 60615,B03002_011,1537,294,No,Two or more races,Excluding,1805,0.9218836565096953,1,0.8736842105263158,0.9218836565096953,0.8515235457063712,0.8736842105263158,0.8515235457063712
60615,ZCTA5 60615,B03002_020,101,78,Yes,Two or more races,Including,1805,0.0781163434903047,1,0.12631578947368421,0.0781163434903047,0.05595567867036011,0.12631578947368421,0.05595567867036011
60615,ZCTA5 60615,B03002_021,40,32,Yes,Two or more races,Excluding,1805,0.0781163434903047,1,0.8736842105263158,0.0781163434903047,0.0221606648199446,0.8736842105263158,0.0221606648199446
60616,ZCTA5 60616,B03002_010,157,156,No,Two or more races,Including,1149,0.9208006962576153,1,0.1453437771975631,0.9208006962576153,0.13664055700609226,0.1453437771975631,0.13664055700609226
60616,ZCTA5 60616,B03002_011,901,317,No,Two or more races,Excluding,1149,0.9208006962576153,1,0.8546562228024369,0.9208006962576153,0.7841601392515231,0.8546562228024369,0.7841601392515231
60616,ZCTA5 60616,B03002_020,10,17,Yes,Two or more races,Including,1149,0.07919930374238468,1,0.1453437771975631,0.07919930374238468,0.008703220191470844,0.1453437771975631,0.008703220191470844
60616,ZCTA5 60616,B03002_021,81,84,Yes,Two or more races,Excluding,1149,0.07919930374238468,1,0.8546562228024369,0.07919930374238468,0.07049608355091384,0.8546562228024369,0.07049608355091384
60617,ZCTA5 60617,B03002_010,10,12,No,Two or more races,Including,1311,0.22730739893211288,1,0.5720823798627003,0.22730739893211288,0.007627765064836003,0.5720823798627003,0.007627765064836003
60617,ZCTA5 60617,B03002_011,288,146,No,Two or more races,Excluding,1311,0.22730739893211288,1,0.4279176201372998,0.22730739893211288,0.21967963386727687,0.4279176201372998,0.21967963386727687
60617,ZCTA5 60617,B03002_020,740,308,Yes,Two or more races,Including,1311,0.7726926010678871,1,0.5720823798627003,0.7726926010678871,0.5644546147978642,0.5720823798627003,0.5644546147978642
60617,ZCTA5 60617,B03002_021,273,136,Yes,Two or more races,Excluding,1311,0.7726926010678871,1,0.4279176201372998,0.7726926010678871,0.20823798627002288,0.4279176201372998,0.20823798627002288
60618,ZCTA5 60618,B03002_010,69,70,No,Two or more races,Including,3725,0.6928859060402685,1,0.1991946308724832,0.6928859060402685,0.018523489932885905,0.1991946308724832,0.018523489932885905
60618,ZCTA5 60618,B03002_011,2512,461,No,Two or more races,Excluding,3725,0.6928859060402685,1,0.8008053691275168,0.6928859060402685,0.6743624161073826,0.8008053691275168,0.6743624161073826
60618,ZCTA5 60618,B03002_020,673,240,Yes,Two or more races,Including,3725,0.30711409395973155,1,0.1991946308724832,0.30711409395973155,0.18067114093959732,0.1991946308724832,0.18067114093959732
60618,ZCTA5 60618,B03002_021,471,203,Yes,Two or more races,Excluding,3725,0.30711409395973155,1,0.8008053691275168,0.30711409395973155,0.12644295302013422,0.8008053691275168,0.12644295302013422
60619,ZCTA5 60619,B03002_010,0,26,No,Two or more races,Including,900,0.6855555555555556,1,0.15222222222222223,0.6855555555555556,0,0.15222222222222223,0
60619,ZCTA5 60619,B03002_011,617,219,No,Two or more races,Excluding,900,0.6855555555555556,1,0.8477777777777777,0.6855555555555556,0.6855555555555556,0.8477777777777777,0.6855555555555556
60619,ZCTA5 60619,B03002_020,137,134,Yes,Two or more races,Including,900,0.31444444444444447,1,0.15222222222222223,0.31444444444444447,0.15222222222222223,0.15222222222222223,0.15222222222222223
60619,ZCTA5 60619,B03002_021,146,164,Yes,Two or more races,Excluding,900,0.31444444444444447,1,0.8477777777777777,0.31444444444444447,0.1622222222222222,0.8477777777777777,0.1622222222222222
60620,ZCTA5 60620,B03002_010,8,19,No,Two or more races,Including,560,0.7196428571428571,1,0.21607142857142858,0.7196428571428571,0.014285714285714285,0.21607142857142858,0.014285714285714285
60620,ZCTA5 60620,B03002_011,395,143,No,Two or more races,Excluding,560,0.7196428571428571,1,0.7839285714285714,0.7196428571428571,0.7053571428571429,0.7839285714285714,0.7053571428571429
60620,ZCTA5 60620,B03002_020,113,105,Yes,Two or more races,Including,560,0.28035714285714286,1,0.21607142857142858,0.28035714285714286,0.2017857142857143,0.21607142857142858,0.2017857142857143
60620,ZCTA5 60620,B03002_021,44,45,Yes,Two or more races,Excluding,560,0.28035714285714286,1,0.7839285714285714,0.28035714285714286,0.07857142857142857,0.7839285714285714,0.07857142857142857
60621,ZCTA5 60621,B03002_010,0,20,No,Two or more races,Including,127,0.7952755905511811,1,0.15748031496062992,0.7952755905511811,0,0.15748031496062992,0
