GEOID,zip_pop,zip_pop_hisp,zip_pop_work_eligible,prop_over_18,prop_citizen,prop_female_over_18,prop_female_citizen,prop_over_18_citizen,prop_female_over_18_citizen,prop_female_hisp,prop_18_to_34_hisp,prop_female_18_to_34_hisp,prop_19_to_34,prop_with_HI,prop_female_19_to_34,prop_female_with_HI,prop_19_to_34_with_HI,prop_female_19_to_34_with_HI,prop_not_His,prop_White,prop_not_His_White,prop_male_work_eligible,prop_service,prop_male_work_eligible_service,prop_female,prop_18_to_34,prop_female_18_to_34,prop_one_policy,prop_employer,prop_medicaid,prop_19_to_34_one_policy,prop_19_to_34_no_HI,prop_19_to_34_employer,prop_19_to_34_medicaid
60601,14675,1274,9212,0.94412265758092,0.7606132879045997,0.47332197614991484,0.3697444633730835,0.7125724020442931,0.3368313458262351,0.5102040816326531,0.42543171114599687,0.1043956043956044,0.4209735782071414,0.9700279920802894,0.2053662866115928,0.5029016180787874,0.3998088345736328,0.19853894995562232,0.9131856899488927,0.7416695059625213,0.6594207836456559,0.5616587060356057,0.14785062961354756,0.09932696482848459,0.5099829642248722,0.4473594548551959,0.22500851788756387,0.8691199563050453,0.6852597801597596,0.007987983887485492,0.39168430395302795,0.02116474363350857,0.3062060490202772,0.004779135659179354
60602,1244,81,930,0.8802250803858521,0.882636655948553,0.3971061093247588,0.38263665594855306,0.7628617363344051,0.33681672025723475,0.8395061728395061,0.3333333333333333,0.2716049382716049,0.5458199356913184,0.9911575562700965,0.2717041800643087,0.43569131832797425,0.5393890675241158,0.26607717041800644,0.934887459807074,0.6816720257234726,0.6334405144694534,0.6,0.2053763440860215,0.1774193548387097,0.4429260450160772,0.5554662379421221,0.27733118971061094,0.9871382636655949,0.727491961414791,0.005627009646302251,0.5393890675241158,0.006430868167202572,0.2909967845659164,0
60603,1174,115,754,0.9522998296422487,0.8398637137989778,0.4940374787052811,0.45826235093696766,0.7921635434412265,0.4403747870528109,0.5043478260869565,0.2,0.14782608695652175,0.46678023850085176,0.9301533219761499,0.2231686541737649,0.4838160136286201,0.41652470187393525,0.20442930153321975,0.9020442930153322,0.6345826235093697,0.6022146507666098,0.5517241379310345,0.21352785145888595,0.11140583554376658,0.5119250425894378,0.5383304940374787,0.2708688245315162,0.8330494037478705,0.6396933560477002,0,0.41396933560477,0.05025553662691652,0.31771720613287907,0
60604,782,34,502,0.9514066496163683,0.8375959079283888,0.520460358056266,0.4194373401534527,0.789002557544757,0.4117647058823529,0.5294117647058824,0.20588235294117646,0.20588235294117646,0.48721227621483376,0.9961636828644501,0.3209718670076726,0.5242966751918159,0.48721227621483376,0.3209718670076726,0.9565217391304348,0.6342710997442456,0.612531969309463,0.5537848605577689,0.13147410358565736,0.09561752988047809,0.5281329923273658,0.5076726342710998,0.3209718670076726,0.8593350383631714,0.7608695652173914,0,0.479539641943734,0,0.40025575447570333,0
60605,27519,1608,18075,0.9178749227806243,0.8963988517024601,0.47905083760311057,0.46862167956684475,0.8156909771430648,0.4258512300592318,0.42039800995024873,0.458955223880597,0.21517412935323382,0.4078888557806913,0.973592073897497,0.22716775923718713,0.5255512514898689,0.394442789034565,0.2203888557806913,0.9415676441731168,0.6120498564628075,0.5734583378756496,0.5017427385892116,0.18318118948824344,0.0955463347164592,0.5225843962353283,0.4411134125513282,0.2393255568879683,0.8455750893921334,0.6781138259833135,0.029797377830750895,0.3694874851013111,0.01344606674612634,0.30140047675804527,0.005214541120381407
60606,3101,195,2549,0.9674298613350532,0.891647855530474,0.508868107062238,0.4437278297323444,0.8658497258948726,0.4437278297323444,0.5692307692307692,0.3487179487179487,0.21025641025641026,0.42376173518938165,0.9763677565555196,0.2269342829394626,0.5082550987374554,0.4049854321786986,0.21754613143412108,0.9371170590132215,0.72750725572396,0.6865527249274428,0.4766575127500981,0.16084739113377794,0.08042369556688897,0.5156401160915833,0.4259916156078684,0.22605611093195743,0.8928455810942052,0.7581741663968922,0.018452573648429914,0.4049854321786986,0.01877630301068307,0.3515700874069278,0.004532211071544189
60607,29591,2457,17838,0.8867899023351695,0.8788482984691292,0.4388496502314893,0.4435470244331047,0.7662464938663783,0.37998039944577744,0.5763125763125763,0.5291005291005291,0.33170533170533173,0.49328732962115257,0.9660096334506201,0.25067468315512587,0.4900761794144775,0.47716325624295425,0.24377412632801557,0.9169679970261229,0.5816971376432023,0.5217802710283532,0.5035317860746721,0.2391523713420787,0.129330642448705,0.5024162752188165,0.5297218748943936,0.2677841235510797,0.888566255593892,0.650702012093055,0.07365148771905852,0.4533187578997711,0.01612407337819834,0.3316708229426434,0.023161274894954394
60608,79205,40146,34418,0.8117543084401238,0.8451865412537087,0.35717442080676726,0.3762388738084717,0.6605643583107127,0.2887822738463481,0.47150401036217804,0.2924824390972949,0.14120958501469635,0.30920073285239896,0.8483911599679377,0.1602685216993015,0.4319391961525249,0.24135463185617773,0.13046776594526507,0.4931380594659428,0.44608294930875575,0.19125055236411842,0.5289674007786623,0.42024522052414437,0.2683770120285897,0.446436462344549,0.35699766428887064,0.15020516381541568,0.7574716592236345,0.3833590976754838,0.25095900606893395,0.23295259361044315,0.06784610099622122,0.15016317416695293,0.05370433986030001
60609,61495,32860,24788,0.7300593544190584,0.8141312301813155,0.37050166680217905,0.4229937393284007,0.5515407756728189,0.2897471339133263,0.4900182592818016,0.30283018867924527,0.14230066950699938,0.2599340989168733,0.8434686154247684,0.12977945974161556,0.4437067728043847,0.18633368132585149,0.10312540780373222,0.46564761362712415,0.4471745670379706,0.14915033742580697,0.5637405196062611,0.5028239470711635,0.33189446506374054,0.5077648589316205,0.2737133100252053,0.13757216033823888,0.7574057157771108,0.2926888946887642,0.36082474226804123,0.17989038235677932,0.07360041759102179,0.08960263604332507,0.0730947409630693
60610,39019,2601,25973,0.9086342551064865,0.936825649042774,0.4968092467772111,0.5119557138829801,0.8479971296035265,0.4674645685435301,0.5124951941560938,0.37677816224529026,0.19415609381007304,0.43945655542927986,0.9619537142266763,0.24281950614732928,0.5182095257774564,0.41375658642421737,0.22670213865068706,0.9333401676106512,0.7381788359517159,0.6870755273072093,0.47206714665229277,0.20552111808416432,0.10722673545605052,0.541915477075271,0.4459878520720675,0.24618775468361567,0.8328597995660709,0.6045820849261287,0.07787478045252609,0.4026500671556979,0.025699969005062506,0.3264283500361608,0.023840272755449945
60611,32426,1701,20684,0.9494849811879356,0.8753161043606982,0.5082649725528896,0.4753284401406279,0.8308147782643558,0.4561154629001419,0.47677836566725457,0.4626690182245738,0.18577307466196355,0.37176956763091346,0.9796151236661937,0.19428853389255535,0.5193054955899586,0.3640905446246839,0.1903410843150558,0.9475420958490101,0.7490285573305372,0.714457534077592,0.5168729452717076,0.1839102688068072,0.11158383291432991,0.5310244865231605,0.37562449885894034,0.19687904767778944,0.7902609017455129,0.5878924319990131,0.008172454203417012,0.34160858570283104,0.007679023006229569,0.2716647135015111,0.0011718990933201753
60612,34311,4206,14774,0.7621753956457112,0.9461980122992626,0.40162047156888464,0.4930197312815132,0.7087522951823031,0.3808691090320888,0.516642891107941,0.323585354255825,0.1852116024726581,0.31619460873183347,0.9173477576009749,0.16575028977323386,0.4896721847415817,0.27758789788094035,0.150919844265462,0.8774154061379732,0.2771705866923144,0.21375069219783743,0.4752944361716529,0.32401516177067824,0.1784892378502775,0.5138585293346157,0.33242983299816387,0.17201480574742795,0.8149314946354801,0.38461081225666477,0.3178886676375308,0.26516479923915953,0.038606710850893095,0.1600737064225637,0.06425535708978512
60613,50113,5662,35569,0.8844012531678407,0.9318340550356194,0.4381298265919023,0.4677029912397981,0.8181709336898609,0.40999341488236585,0.4549629106322854,0.40162486753797244,0.18844931119745673,0.4378132392446173,0.939777875786857,0.2225853013110942,0.4711318712160699,0.4077623190730123,0.2094543121767371,0.8870153453195777,0.8190489493744139,0.7303494103326482,0.533301470381512,0.22719221794259045,0.13230622170991593,0.49703669706463394,0.4374713148284876,0.22197832897651307,0.8573032356361012,0.6902690349224169,0.041337556633655424,0.39727757507718214,0.03005092017160499,0.339541317509322,0.008119161220480333
60614,71308,4317,47416,0.8608290794861727,0.9435687440399394,0.4294889773938408,0.46958265552252204,0.8081140965950524,0.4048213384192517,0.4739402362751911,0.4741718786194116,0.22422978920546677,0.4643028812169537,0.9711312805722849,0.2313173297141403,0.4816495603245964,0.4475075635479402,0.2239092939746091,0.9394598081561676,0.8460902002580356,0.7960116676950693,0.525097013666273,0.1924455879871773,0.11618441032562848,0.4959191114601447,0.4801845515229708,0.23887922813709542,0.8933469053072073,0.7359120083693839,0.018760426386179207,0.43510899991517515,0.016795317669013488,0.37488336584952076,0.004622953600814318
60615,41563,2573,20927,0.8394485479873927,0.9055650458340351,0.4626230060390251,0.5019127589442534,0.7476361186632341,0.4257873589490653,0.45083560046638166,0.5145744267392149,0.24601632335794793,0.34524096095517787,0.9300707717490733,0.1799383756198546,0.5143950700495884,0.31789514226565885,0.1713446632323913,0.9380939778168083,0.30103698000625556,0.26427351249909775,0.4505184689635399,0.20781765183733933,0.11951067998279734,0.5394942617231673,0.35772201236676854,0.18826841180857976,0.7769727023253574,0.5107601945019499,0.14698377545616484,0.3023446150883443,0.02734581868951904,0.21722594001251747,0.03793750902700881
60616,54464,4600,27468,0.8491664218566393,0.809048178613396,0.4551079612220917,0.43428686839012925,0.669690070505288,0.36745373090481787,0.5073913043478261,0.3217391304347826,0.13521739130434782,0.3182479301857239,0.908480644439472,0.15484448422465877,0.47892891772954427,0.27532259267546805,0.134929514432759,0.9155405405405406,0.2877129847238543,0.24162749706227968,0.4874763361001893,0.33395223532838214,0.20114314839085481,0.526164071680376,0.32404891304347827,0.15731492361927144,0.7855784291787872,0.4223912881330648,0.17306257924964571,0.26519728500037293,0.04292533751025584,0.16386962034757963,0.032800029835160734
60617,82534,31079,31346,0.7414762400949911,0.9175612474858846,0.40588121259117454,0.4954321855235418,0.6645624833401992,0.36695180168173114,0.5135300363589562,0.23449917951028026,0.11901927346439718,0.20958548594435955,0.9020956123117223,0.11300298333697155,0.49564626840330833,0.16844939241795823,0.09678866817046254,0.6234400368333051,0.3804250369544673,0.06318608088787651,0.49559752440502775,0.4354941619345371,0.27595227461239075,0.5376450917197761,0.2231201686577653,0.12001114692126881,0.7669844041815227,0.34087656746464867,0.31685221567343375,0.16254335540517598,0.04113609352640132,0.08121710446530354,0.07071478813456547
