NAME,Cases
"Osborne County, Kansas",3
"Ottawa County, Kansas",26
"Pawnee County, Kansas",7
"Phillips County, Kansas",36
"Pottawatomie County, Kansas",102
"Pratt County, Kansas",28
"Rawlins County, Kansas",0
"Reno County, Kansas",179
"Republic County, Kansas",21
"Rice County, Kansas",16
"Riley County, Kansas",411
"Rooks County, Kansas",11
"Rush County, Kansas",5
"Russell County, Kansas",4
"Saline County, Kansas",284
"Scott County, Kansas",21
"Sedgwick County, Kansas",3368
"Seward County, Kansas",1121
"Shawnee County, Kansas",1237
"Sheridan County, Kansas",7
"Sherman County, Kansas",9
"Smith County, Kansas",3
"Stafford County, Kansas",2
"Stanton County, Kansas",17
"Stevens County, Kansas",40
"Sumner County, Kansas",72
"Thomas County, Kansas",23
"Trego County, Kansas",3
"Wabaunsee County, Kansas",38
"Wallace County, Kansas",0
"Washington County, Kansas",2
"Wichita County, Kansas",1
"Wilson County, Kansas",7
"Woodson County, Kansas",10
"Wyandotte County, Kansas",3937
"Statewide Unallocated, Kentucky",0
"Adair County, Kentucky",171
"Allen County, Kentucky",205
"Anderson County, Kentucky",41
"Ballard County, Kentucky",26
"Barren County, Kentucky",214
"Bath County, Kentucky",24
"Bell County, Kentucky",174
"Boone County, Kentucky",871
"Bourbon County, Kentucky",60
"Boyd County, Kentucky",129
"Boyle County, Kentucky",62
"Bracken County, Kentucky",24
"Breathitt County, Kentucky",18
"Breckinridge County, Kentucky",38
"Bullitt County, Kentucky",221
"Butler County, Kentucky",283
"Caldwell County, Kentucky",41
"Calloway County, Kentucky",139
"Campbell County, Kentucky",421
"Carlisle County, Kentucky",16
"Carroll County, Kentucky",128
"Carter County, Kentucky",75
"Casey County, Kentucky",122
"Christian County, Kentucky",367
"Clark County, Kentucky",122
"Clay County, Kentucky",121
"Clinton County, Kentucky",14
"Crittenden County, Kentucky",21
"Cumberland County, Kentucky",20
"Daviess County, Kentucky",595
"Edmonson County, Kentucky",84
"Elliott County, Kentucky",7
"Estill County, Kentucky",8
"Fayette County, Kentucky",2205
"Fleming County, Kentucky",40
"Floyd County, Kentucky",61
"Franklin County, Kentucky",198
"Fulton County, Kentucky",36
"Gallatin County, Kentucky",74
"Garrard County, Kentucky",48
"Grant County, Kentucky",80
"Graves County, Kentucky",397
"Grayson County, Kentucky",163
"Green County, Kentucky",22
"Greenup County, Kentucky",63
"Hancock County, Kentucky",38
"Hardin County, Kentucky",394
"Harlan County, Kentucky",107
"Harrison County, Kentucky",105
"Hart County, Kentucky",60
"Henderson County, Kentucky",247
"Henry County, Kentucky",64
"Hickman County, Kentucky",16
"Hopkins County, Kentucky",359
"Jackson County, Kentucky",123
"Jefferson County, Kentucky",5519
"Jessamine County, Kentucky",192
"Johnson County, Kentucky",17
"Kenton County, Kentucky",1100
"Knott County, Kentucky",27
"Knox County, Kentucky",143
"Larue County, Kentucky",31
"Laurel County, Kentucky",273
"Lawrence County, Kentucky",21
"Lee County, Kentucky",3
"Leslie County, Kentucky",16
"Letcher County, Kentucky",26
"Lewis County, Kentucky",26
"Lincoln County, Kentucky",75
"Livingston County, Kentucky",27
"Logan County, Kentucky",278
"Lyon County, Kentucky",25
"McCracken County, Kentucky",267
"McCreary County, Kentucky",21
"McLean County, Kentucky",35
"Madison County, Kentucky",287
"Magoffin County, Kentucky",9
"Marion County, Kentucky",85
"Marshall County, Kentucky",98
"Martin County, Kentucky",20
"Mason County, Kentucky",45
"Meade County, Kentucky",52
"Menifee County, Kentucky",19
"Mercer County, Kentucky",34
"Metcalfe County, Kentucky",20
"Monroe County, Kentucky",65
"Montgomery County, Kentucky",89
"Morgan County, Kentucky",24
"Muhlenberg County, Kentucky",584
"Nelson County, Kentucky",159
"Nicholas County, Kentucky",16
"Ohio County, Kentucky",300
"Oldham County, Kentucky",413
"Owen County, Kentucky",24
"Owsley County, Kentucky",4
"Pendleton County, Kentucky",28
"Perry County, Kentucky",141
"Pike County, Kentucky",166
"Powell County, Kentucky",31
"Pulaski County, Kentucky",164
"Robertson County, Kentucky",2
"Rockcastle County, Kentucky",44
"Rowan County, Kentucky",46
"Russell County, Kentucky",79
"Scott County, Kentucky",193
"Shelby County, Kentucky",635
"Simpson County, Kentucky",113
"Spencer County, Kentucky",63
"Taylor County, Kentucky",73
"Todd County, Kentucky",30
"Trigg County, Kentucky",38
"Trimble County, Kentucky",25
"Union County, Kentucky",40
"Warren County, Kentucky",2057
"Washington County, Kentucky",43
"Wayne County, Kentucky",42
"Webster County, Kentucky",69
"Whitley County, Kentucky",77
"Wolfe County, Kentucky",7
"Woodford County, Kentucky",103
"Statewide Unallocated, Louisiana",9
"Acadia Parish, Louisiana",2011
"Allen Parish, Louisiana",777
"Ascension Parish, Louisiana",2077
"Assumption Parish, Louisiana",463
"Avoyelles Parish, Louisiana",741
"Beauregard Parish, Louisiana",529
"Bienville Parish, Louisiana",327
"Bossier Parish, Louisiana",1701
"Caddo Parish, Louisiana",5254
"Calcasieu Parish, Louisiana",4742
"Caldwell Parish, Louisiana",166
"Cameron Parish, Louisiana",147
"Catahoula Parish, Louisiana",235
"Claiborne Parish, Louisiana",186
"Concordia Parish, Louisiana",208
"De Soto Parish, Louisiana",534
"East Baton Rouge Parish, Louisiana",8919
"East Carroll Parish, Louisiana",480
"East Feliciana Parish, Louisiana",419
"Evangeline Parish, Louisiana",562
"Franklin Parish, Louisiana",649
"Grant Parish, Louisiana",184
"Iberia Parish, Louisiana",1813
"Iberville Parish, Louisiana",964
"Jackson Parish, Louisiana",325
"Jefferson Parish, Louisiana",12812
"Jefferson Davis Parish, Louisiana",845
"Lafayette Parish, Louisiana",5339
"Lafourche Parish, Louisiana",2140
"La Salle Parish, Louisiana",174
"Lincoln Parish, Louisiana",568
"Livingston Parish, Louisiana",2097
"Madison Parish, Louisiana",499
"Morehouse Parish, Louisiana",358
"Natchitoches Parish, Louisiana",548
"Orleans Parish, Louisiana",9586
"Ouachita Parish, Louisiana",3778
"Plaquemines Parish, Louisiana",357
"Pointe Coupee Parish, Louisiana",555
"Rapides Parish, Louisiana",2492
"Red River Parish, Louisiana",136
"Richland Parish, Louisiana",409
"Sabine Parish, Louisiana",417
"St. Bernard Parish, Louisiana",874
"St. Charles Parish, Louisiana",1088
"St. Helena Parish, Louisiana",200
"St. James Parish, Louisiana",533
"St. John the Baptist Parish, Louisiana",1191
"St. Landry Parish, Louisiana",1655
"St. Martin Parish, Louisiana",1333
"St. Mary Parish, Louisiana",1189
"St. Tammany Parish, Louisiana",3954
"Tangipahoa Parish, Louisiana",2536
"Tensas Parish, Louisiana",45
"Terrebonne Parish, Louisiana",2173
"Union Parish, Louisiana",519
"Vermilion Parish, Louisiana",947
"Vernon Parish, Louisiana",478
"Washington Parish, Louisiana",1033
"Webster Parish, Louisiana",721
"West Baton Rouge Parish, Louisiana",490
"West Carroll Parish, Louisiana",211
"West Feliciana Parish, Louisiana",313
"Winn Parish, Louisiana",339
"Statewide Unallocated, Maine",3
"Androscoggin County, Maine",515
"Aroostook County, Maine",32
"Cumberland County, Maine",1986
"Franklin County, Maine",45
"Hancock County, Maine",19
"Kennebec County, Maine",154
"Knox County, Maine",25
"Lincoln County, Maine",31
"Oxford County, Maine",48
"Penobscot County, Maine",136
"Piscataquis County, Maine",3
"Sagadahoc County, Maine",38
"Somerset County, Maine",32
"Waldo County, Maine",60
"Washington County, Maine",6
"York County, Maine",604
"Statewide Unallocated, Maryland",0
"Allegany County, Maryland",240
"Anne Arundel County, Maryland",6105
"Baltimore County, Maryland",10153
"Calvert County, Maryland",503
"Caroline County, Maryland",368
"Carroll County, Maryland",1311
"Cecil County, Maryland",570
"Charles County, Maryland",1659
"Dorchester County, Maryland",288
"Frederick County, Maryland",2797
"Garrett County, Maryland",37
"Harford County, Maryland",1472
"Howard County, Maryland",3198
"Kent County, Maryland",221
"Montgomery County, Maryland",16593
"Prince George's County, Maryland",20958
"Queen Anne's County, Maryland",340
"St. Mary's County, Maryland",789
"Somerset County, Maryland",110
"Talbot County, Maryland",268
"Washington County, Maryland",818
"Wicomico County, Maryland",1201
"Worcester County, Maryland",435
"Baltimore City, Maryland",9738
"Statewide Unallocated, Massachusetts",315
"Barnstable County, Massachusetts",1644
"Berkshire County, Massachusetts",626
"Bristol County, Massachusetts",8761
"Dukes County, Massachusetts",64
"Essex County, Massachusetts",16815
"Franklin County, Massachusetts",390
"Hampden County, Massachusetts",7180
"Hampshire County, Massachusetts",1063
"Middlesex County, Massachusetts",25084
"Nantucket County, Massachusetts",29
"Norfolk County, Massachusetts",9821
"Plymouth County, Massachusetts",8917
"Suffolk County, Massachusetts",20678
"Worcester County, Massachusetts",12933
"Statewide Unallocated, Michigan",4392
"Alcona County, Michigan",27
"Alger County, Michigan",4
"Allegan County, Michigan",443
"Alpena County, Michigan",125
"Antrim County, Michigan",31
"Arenac County, Michigan",39
"Baraga County, Michigan",5
"Barry County, Michigan",160
"Bay County, Michigan",493
"Benzie County, Michigan",24
"Berrien County, Michigan",1155
"Branch County, Michigan",303
"Calhoun County, Michigan",676
"Cass County, Michigan",237
"Charlevoix County, Michigan",42
"Cheboygan County, Michigan",32
"Chippewa County, Michigan",25
"Clare County, Michigan",42
"Clinton County, Michigan",334
"Crawford County, Michigan",92
"Delta County, Michigan",55
"Dickinson County, Michigan",35
"Eaton County, Michigan",394
"Emmet County, Michigan",51
"Genesee County, Michigan",3183
"Gladwin County, Michigan",30
"Gogebic County, Michigan",45
"Grand Traverse County, Michigan",138
"Gratiot County, Michigan",118
"Hillsdale County, Michigan",220
"Houghton County, Michigan",38
"Huron County, Michigan",108
"Ingham County, Michigan",1308
"Ionia County, Michigan",242
"Iosco County, Michigan",124
"Iron County, Michigan",10
"Isabella County, Michigan",186
"Jackson County, Michigan",597
"Kalamazoo County, Michigan",1370
"Kalkaska County, Michigan",48
"Kent County, Michigan",6486
"Keweenaw County, Michigan",2
"Lake County, Michigan",14
"Lapeer County, Michigan",343
"Leelanau County, Michigan",56
"Lenawee County, Michigan",334
"Livingston County, Michigan",683
"Luce County, Michigan",3
"Mackinac County, Michigan",13
"Macomb County, Michigan",8586
"Manistee County, Michigan",31
"Marquette County, Michigan",107
"Mason County, Michigan",104
"Mecosta County, Michigan",48
"Menominee County, Michigan",61
"Midland County, Michigan",243
"Missaukee County, Michigan",40
"Monroe County, Michigan",754
"Montcalm County, Michigan",160
"Montmorency County, Michigan",7
"Muskegon County, Michigan",1052
"Newaygo County, Michigan",232
"Oakland County, Michigan",13644
"Oceana County, Michigan",445
"Ogemaw County, Michigan",48
"Ontonagon County, Michigan",1
"Osceola County, Michigan",63
"Oscoda County, Michigan",23
"Otsego County, Michigan",128
"Ottawa County, Michigan",1524
"Presque Isle County, Michigan",14
"Roscommon County, Michigan",44
"Saginaw County, Michigan",1617
"St. Clair County, Michigan",668
"St. Joseph County, Michigan",461
"Sanilac County, Michigan",79
"Schoolcraft County, Michigan",8
"Shiawassee County, Michigan",296
"Tuscola County, Michigan",258
"Van Buren County, Michigan",325
"Washtenaw County, Michigan",2169
"Wayne County, Michigan",25520
"Wexford County, Michigan",55
"Statewide Unallocated, Minnesota",89
"Aitkin County, Minnesota",22
"Anoka County, Minnesota",2790
"Becker County, Minnesota",85
"Beltrami County, Minnesota",115
"Benton County, Minnesota",274
"Big Stone County, Minnesota",20
"Blue Earth County, Minnesota",710
"Brown County, Minnesota",61
"Carlton County, Minnesota",107
"Carver County, Minnesota",602
"Cass County, Minnesota",33
"Chippewa County, Minnesota",87
"Chisago County, Minnesota",135
"Clay County, Minnesota",679
"Clearwater County, Minnesota",14
"Cook County, Minnesota",2
"Cottonwood County, Minnesota",150
"Crow Wing County, Minnesota",137
"Dakota County, Minnesota",3194
"Dodge County, Minnesota",114
"Douglas County, Minnesota",105
"Faribault County, Minnesota",72
"Fillmore County, Minnesota",50
"Freeborn County, Minnesota",331
"Goodhue County, Minnesota",153
"Grant County, Minnesota",33
"Hennepin County, Minnesota",15273
"Houston County, Minnesota",33
"Hubbard County, Minnesota",12
"Isanti County, Minnesota",94
"Itasca County, Minnesota",108
"Jackson County, Minnesota",60
"Kanabec County, Minnesota",20
"Kandiyohi County, Minnesota",627
"Kittson County, Minnesota",2
"Koochiching County, Minnesota",48
"Lac Qui Parle County, Minnesota",6
"Lake County, Minnesota",14
"Lake of the Woods County, Minnesota",0
"Le Sueur County, Minnesota",162
"Lincoln County, Minnesota",51
"Lyon County, Minnesota",385
"McLeod County, Minnesota",114
"Mahnomen County, Minnesota",18
"Marshall County, Minnesota",23
"Martin County, Minnesota",190
"Meeker County, Minnesota",76
"Mille Lacs County, Minnesota",48
"Morrison County, Minnesota",74
"Mower County, Minnesota",1019
"Murray County, Minnesota",104
"Nicollet County, Minnesota",243
"Nobles County, Minnesota",1713
"Norman County, Minnesota",24
"Olmsted County, Minnesota",1448
"Otter Tail County, Minnesota",134
"Pennington County, Minnesota",60
"Pine County, Minnesota",119
"Pipestone County, Minnesota",124
"Polk County, Minnesota",96
"Pope County, Minnesota",28
"Ramsey County, Minnesota",5890
"Red Lake County, Minnesota",5
"Redwood County, Minnesota",27
"Renville County, Minnesota",44
"Rice County, Minnesota",924
"Rock County, Minnesota",45
"Roseau County, Minnesota",34
"St. Louis County, Minnesota",299
"Scott County, Minnesota",1072
"Sherburne County, Minnesota",459
"Sibley County, Minnesota",69
"Stearns County, Minnesota",2666
"Steele County, Minnesota",291
"Stevens County, Minnesota",14
"Swift County, Minnesota",47
"Todd County, Minnesota",405
"Traverse County, Minnesota",9
"Wabasha County, Minnesota",59
"Wadena County, Minnesota",20
"Waseca County, Minnesota",98
"Washington County, Minnesota",1550
"Watonwan County, Minnesota",282
"Wilkin County, Minnesota",23
"Winona County, Minnesota",193
"Wright County, Minnesota",652
"Yellow Medicine County, Minnesota",37
"Statewide Unallocated, Mississippi",0
"Adams County, Mississippi",455
"Alcorn County, Mississippi",190
"Amite County, Mississippi",151
"Attala County, Mississippi",432
"Benton County, Mississippi",84
"Bolivar County, Mississippi",634
"Calhoun County, Mississippi",303
"Carroll County, Mississippi",225
"Chickasaw County, Mississippi",350
"Choctaw County, Mississippi",97
"Claiborne County, Mississippi",359
"Clarke County, Mississippi",263
"Clay County, Mississippi",310
"Coahoma County, Mississippi",465
"Copiah County, Mississippi",783
"Covington County, Mississippi",498
"DeSoto County, Mississippi",2619
"Forrest County, Mississippi",1267
"Franklin County, Mississippi",78
"George County, Mississippi",196
"Greene County, Mississippi",170
"Grenada County, Mississippi",730
"Hancock County, Mississippi",214
"Harrison County, Mississippi",1573
"Hinds County, Mississippi",3952
"Holmes County, Mississippi",687
"Humphreys County, Mississippi",227
"Issaquena County, Mississippi",16
"Itawamba County, Mississippi",220
"Jackson County, Mississippi",1368
"Jasper County, Mississippi",308
"Jefferson County, Mississippi",151
"Jefferson Davis County, Mississippi",159
"Jones County, Mississippi",1432
"Kemper County, Mississippi",204
"Lafayette County, Mississippi",633
"Lamar County, Mississippi",845
"Lauderdale County, Mississippi",1154
"Lawrence County, Mississippi",222
"Leake County, Mississippi",699
"Lee County, Mississippi",879
"Leflore County, Mississippi",681
"Lincoln County, Mississippi",622
"Lowndes County, Mississippi",714
"Madison County, Mississippi",1852
"Marion County, Mississippi",449
"Marshall County, Mississippi",407
"Monroe County, Mississippi",536
"Montgomery County, Mississippi",237
"Neshoba County, Mississippi",1129
"Newton County, Mississippi",452
"Noxubee County, Mississippi",341
"Oktibbeha County, Mississippi",712
"Panola County, Mississippi",617
"Pearl River County, Mississippi",391
"Perry County, Mississippi",143
"Pike County, Mississippi",649
"Pontotoc County, Mississippi",538
"Prentiss County, Mississippi",219
"Quitman County, Mississippi",138
"Rankin County, Mississippi",1623
"Scott County, Mississippi",911
"Sharkey County, Mississippi",86
"Simpson County, Mississippi",576
"Smith County, Mississippi",325
"Stone County, Mississippi",111
"Sunflower County, Mississippi",699
"Tallahatchie County, Mississippi",318
"Tate County, Mississippi",511
"Tippah County, Mississippi",212
"Tishomingo County, Mississippi",184
"Tunica County, Mississippi",168
"Union County, Mississippi",353
"Walthall County, Mississippi",372
"Warren County, Mississippi",762
"Washington County, Mississippi",1128
"Wayne County, Mississippi",654
"Webster County, Mississippi",148
"Wilkinson County, Mississippi",134
"Winston County, Mississippi",458
"Yalobusha County, Mississippi",256
"Yazoo County, Mississippi",653
"Statewide Unallocated, Missouri",0
"Adair County, Missouri",117
"Andrew County, Missouri",69
"Atchison County, Missouri",7
"Audrain County, Missouri",168
"Barry County, Missouri",173
"Barton County, Missouri",51
"Bates County, Missouri",24
"Benton County, Missouri",38
"Bollinger County, Missouri",47
"Boone County, Missouri",800
"Buchanan County, Missouri",997
"Butler County, Missouri",154
"Caldwell County, Missouri",24
"Callaway County, Missouri",83
"Camden County, Missouri",139
"Cape Girardeau County, Missouri",496
"Carroll County, Missouri",53
"Carter County, Missouri",9
"Cass County, Missouri",349
"Cedar County, Missouri",29
"Chariton County, Missouri",12
"Christian County, Missouri",128
"Clark County, Missouri",2
"Clay County, Missouri",655
"Clinton County, Missouri",43
"Cole County, Missouri",186
"Cooper County, Missouri",38
"Crawford County, Missouri",31
"Dade County, Missouri",9
"Dallas County, Missouri",32
"Daviess County, Missouri",15
"DeKalb County, Missouri",22
"Dent County, Missouri",10
"Douglas County, Missouri",32
"Dunklin County, Missouri",168
"Franklin County, Missouri",394
"Gasconade County, Missouri",14
"Gentry County, Missouri",71
"Greene County, Missouri",684
"Grundy County, Missouri",24
"Harrison County, Missouri",37
"Henry County, Missouri",43
"Hickory County, Missouri",3
"Holt County, Missouri",2
"Howard County, Missouri",29
"Howell County, Missouri",68
"Iron County, Missouri",6
"Jackson County (including other portions of Kansas City), Missouri",6217
"Jasper County, Missouri",1323
"Jefferson County, Missouri",789
"Johnson County, Missouri",389
"Knox County, Missouri",4
"Laclede County, Missouri",151
"Lafayette County, Missouri",122
"Lawrence County, Missouri",110
"Lewis County, Missouri",13
"Lincoln County, Missouri",172
"Linn County, Missouri",25
"Livingston County, Missouri",30
"McDonald County, Missouri",824
"Macon County, Missouri",36
"Madison County, Missouri",13
"Maries County, Missouri",8
"Marion County, Missouri",58
"Mercer County, Missouri",8
"Miller County, Missouri",43
"Mississippi County, Missouri",121
"Moniteau County, Missouri",71
"Monroe County, Missouri",8
"Montgomery County, Missouri",24
"Morgan County, Missouri",37
"New Madrid County, Missouri",114
"Newton County, Missouri",699
"Nodaway County, Missouri",51
"Oregon County, Missouri",11
"Osage County, Missouri",27
"Ozark County, Missouri",3
"Pemiscot County, Missouri",172
"Perry County, Missouri",184
"Pettis County, Missouri",206
"Phelps County, Missouri",60
"Pike County, Missouri",49
"Platte County, Missouri",223
"Polk County, Missouri",125
"Pulaski County, Missouri",162
"Putnam County, Missouri",4
"Ralls County, Missouri",15
"Randolph County, Missouri",23
"Ray County, Missouri",39
"Reynolds County, Missouri",10
"Ripley County, Missouri",34
"St. Charles County, Missouri",2012
"St. Clair County, Missouri",11
"Ste. Genevieve County, Missouri",31
"St. Francois County, Missouri",214
"St. Louis County, Missouri",9377
"Saline County, Missouri",351
"Schuyler County, Missouri",8
"Scotland County, Missouri",11
"Scott County, Missouri",266
"Shannon County, Missouri",35
"Shelby County, Missouri",8
"Stoddard County, Missouri",177
"Stone County, Missouri",47
"Sullivan County, Missouri",125
"Taney County, Missouri",205
"Texas County, Missouri",16
"Vernon County, Missouri",41
"Warren County, Missouri",99
"Washington County, Missouri",41
"Wayne County, Missouri",5
"Webster County, Missouri",86
"Worth County, Missouri",5
"Wright County, Missouri",52
"City of St. Louis, Missouri",3448
"Statewide Unallocated, Montana",0
"Beaverhead County, Montana",13
"Big Horn County, Montana",173
"Blaine County, Montana",6
"Broadwater County, Montana",9
"Carbon County, Montana",42
"Carter County, Montana",0
"Cascade County, Montana",81
"Chouteau County, Montana",3
"Custer County, Montana",43
"Daniels County, Montana",0
"Dawson County, Montana",8
"Deer Lodge County, Montana",8
"Fallon County, Montana",1
"Fergus County, Montana",4
"Flathead County, Montana",149
"Gallatin County, Montana",664
"Garfield County, Montana",12
"Glacier County, Montana",35
"Golden Valley County, Montana",3
"Granite County, Montana",6
"Hill County, Montana",34
"Jefferson County, Montana",17
"Judith Basin County, Montana",1
"Lake County, Montana",116
"Lewis and Clark County, Montana",88
"Liberty County, Montana",1
"Lincoln County, Montana",48
"McCone County, Montana",1
"Madison County, Montana",47
"Meagher County, Montana",4
"Mineral County, Montana",0
"Missoula County, Montana",169
"Musselshell County, Montana",1
"Park County, Montana",33
"Petroleum County, Montana",0
"Phillips County, Montana",0
"Pondera County, Montana",8
"Powder River County, Montana",0
"Powell County, Montana",0
"Prairie County, Montana",0
"Ravalli County, Montana",51
"Richland County, Montana",37
"Roosevelt County, Montana",8
"Rosebud County, Montana",17
"Sanders County, Montana",5
"Sheridan County, Montana",3
"Silver Bow County, Montana",31
"Stillwater County, Montana",15
"Sweet Grass County, Montana",4
"Teton County, Montana",15
"Toole County, Montana",31
"Treasure County, Montana",2
"Valley County, Montana",7
"Wheatland County, Montana",2
"Wibaux County, Montana",1
"Yellowstone County, Montana",756
"Statewide Unallocated, Nebraska",2
"Adams County, Nebraska",320
"Antelope County, Nebraska",17
"Arthur County, Nebraska",0
"Banner County, Nebraska",2
"Blaine County, Nebraska",0
"Boone County, Nebraska",7
"Box Butte County, Nebraska",8
"Boyd County, Nebraska",1
"Brown County, Nebraska",0
"Buffalo County, Nebraska",253
"Burt County, Nebraska",17
"Butler County, Nebraska",53
"Cass County, Nebraska",125
"Cedar County, Nebraska",20
"Chase County, Nebraska",4
"Cherry County, Nebraska",3
"Cheyenne County, Nebraska",21
"Clay County, Nebraska",40
"Colfax County, Nebraska",684
"Cuming County, Nebraska",42
"Custer County, Nebraska",40
"Dakota County, Nebraska",1877
"Dawes County, Nebraska",4
"Dawson County, Nebraska",892
"Deuel County, Nebraska",1
"Dixon County, Nebraska",56
"Dodge County, Nebraska",727
"Douglas County, Nebraska",9022
"Dundy County, Nebraska",1
"Fillmore County, Nebraska",21
"Franklin County, Nebraska",8
"Frontier County, Nebraska",3
"Furnas County, Nebraska",12
"Gage County, Nebraska",71
"Garden County, Nebraska",4
"Garfield County, Nebraska",3
"Gosper County, Nebraska",13
"Grant County, Nebraska",0
"Greeley County, Nebraska",6
"Hall County, Nebraska",1658
"Hamilton County, Nebraska",81
"Harlan County, Nebraska",1
"Hayes County, Nebraska",0
"Hitchcock County, Nebraska",1
"Holt County, Nebraska",4
"Hooker County, Nebraska",4
"Howard County, Nebraska",51
"Jefferson County, Nebraska",12
"Johnson County, Nebraska",10
"Kearney County, Nebraska",20
"Keith County, Nebraska",10
"Keya Paha County, Nebraska",0
"Kimball County, Nebraska",15
"Knox County, Nebraska",26
"Lancaster County, Nebraska",2605
"Lincoln County, Nebraska",69
"Logan County, Nebraska",0
"Loup County, Nebraska",0
"McPherson County, Nebraska",4
"Madison County, Nebraska",394
"Merrick County, Nebraska",41
"Morrill County, Nebraska",55
"Nance County, Nebraska",6
"Nemaha County, Nebraska",10
"Nuckolls County, Nebraska",5
"Otoe County, Nebraska",36
"Pawnee County, Nebraska",1
"Perkins County, Nebraska",8
"Phelps County, Nebraska",32
"Pierce County, Nebraska",17
"Platte County, Nebraska",721
"Polk County, Nebraska",17
"Red Willow County, Nebraska",11
"Richardson County, Nebraska",11
"Rock County, Nebraska",2
"Saline County, Nebraska",560
"Sarpy County, Nebraska",1612
"Saunders County, Nebraska",107
"Scotts Bluff County, Nebraska",265
"Seward County, Nebraska",61
"Sheridan County, Nebraska",8
"Sherman County, Nebraska",5
"Sioux County, Nebraska",5
"Stanton County, Nebraska",23
"Thayer County, Nebraska",22
"Thomas County, Nebraska",1
"Thurston County, Nebraska",181
"Valley County, Nebraska",9
"Washington County, Nebraska",79
"Wayne County, Nebraska",35
"Webster County, Nebraska",9
"Wheeler County, Nebraska",0
"York County, Nebraska",61
"Statewide Unallocated, Nevada",0
"Churchill County, Nevada",36
"Clark County, Nevada",33057
"Douglas County, Nevada",109
"Elko County, Nevada",343
"Esmeralda County, Nevada",0
"Eureka County, Nevada",2
"Humboldt County, Nevada",91
"Lander County, Nevada",47
"Lincoln County, Nevada",3
"Lyon County, Nevada",161
"Mineral County, Nevada",10
"Nye County, Nevada",270
"Pershing County, Nevada",13
"Storey County, Nevada",2
"Washoe County, Nevada",4332
"White Pine County, Nevada",11
"Carson City, Nevada",260
"Statewide Unallocated, New Hampshire",0
"Belknap County, New Hampshire",98
"Carroll County, New Hampshire",76
"Cheshire County, New Hampshire",80
"Coos County, New Hampshire",14
"Grafton County, New Hampshire",99
"Hillsborough County, New Hampshire",3575
"Merrimack County, New Hampshire",443
"Rockingham County, New Hampshire",1562
"Strafford County, New Hampshire",310
"Sullivan County, New Hampshire",38
"Statewide Unallocated, New Jersey",682
"Atlantic County, New Jersey",3161
"Bergen County, New Jersey",20099
"Burlington County, New Jersey",5490
"Camden County, New Jersey",7888
"Cape May County, New Jersey",762
"Cumberland County, New Jersey",3095
"Essex County, New Jersey",19173
"Gloucester County, New Jersey",2870
"Hudson County, New Jersey",19281
"Hunterdon County, New Jersey",1102
"Mercer County, New Jersey",7858
"Middlesex County, New Jersey",17379
"Monmouth County, New Jersey",9720
"Morris County, New Jersey",7010
"Ocean County, New Jersey",10054
"Passaic County, New Jersey",17196
"Salem County, New Jersey",841
"Somerset County, New Jersey",5082
"Sussex County, New Jersey",1256
"Union County, New Jersey",16351
"Warren County, New Jersey",1295
"Statewide Unallocated, New Mexico",961
"Bernalillo County, New Mexico",4005
"Catron County, New Mexico",4
"Chaves County, New Mexico",229
"Cibola County, New Mexico",278
"Colfax County, New Mexico",11
"Curry County, New Mexico",328
"De Baca County, New Mexico",0
"Dona Ana County, New Mexico",1838
"Eddy County, New Mexico",202
"Grant County, New Mexico",59
"Guadalupe County, New Mexico",26
"Harding County, New Mexico",1
"Hidalgo County, New Mexico",81
"Lea County, New Mexico",431
"Lincoln County, New Mexico",44
"Los Alamos County, New Mexico",16
"Luna County, New Mexico",168
"McKinley County, New Mexico",3818
"Mora County, New Mexico",6
"Otero County, New Mexico",120
"Quay County, New Mexico",28
"Rio Arriba County, New Mexico",256
"Roosevelt County, New Mexico",95
"Sandoval County, New Mexico",957
"San Juan County, New Mexico",2869
"San Miguel County, New Mexico",36
"Santa Fe County, New Mexico",456
"Sierra County, New Mexico",21
"Socorro County, New Mexico",67
"Taos County, New Mexico",74
"Torrance County, New Mexico",51
"Union County, New Mexico",14
"Valencia County, New Mexico",278
"Statewide Unallocated, New York",69
"New York City Unallocated/Probable, New York",0
"Albany County, New York",2369
"Allegany County, New York",72
"Bronx County, New York",49017
"Broome County, New York",930
"Cattaraugus County, New York",147
"Cayuga County, New York",134
"Chautauqua County, New York",210
"Chemung County, New York",156
"Chenango County, New York",191
"Clinton County, New York",114
"Columbia County, New York",497
"Cortland County, New York",77
"Delaware County, New York",93
"Dutchess County, New York",4387
"Erie County, New York",8135
"Essex County, New York",54
"Franklin County, New York",42
"Fulton County, New York",267
"Genesee County, New York",258
"Greene County, New York",272
"Hamilton County, New York",6
"Herkimer County, New York",211
"Jefferson County, New York",113
"Kings County, New York",61662
"Lewis County, New York",33
"Livingston County, New York",161
"Madison County, New York",388
"Monroe County, New York",4492
"Montgomery County, New York",144
"Nassau County, New York",42765
"New York County, New York",29943
"Niagara County, New York",1395
"Oneida County, New York",1975
"Onondaga County, New York",3326
"Ontario County, New York",333
"Orange County, New York",10960
"Orleans County, New York",288
"Oswego County, New York",232
"Otsego County, New York",101
"Putnam County, New York",1394
"Queens County, New York",67265
"Rensselaer County, New York",668
"Richmond County, New York",14557
"Rockland County, New York",13812
"St. Lawrence County, New York",250
"Saratoga County, New York",650
"Schenectady County, New York",926
