GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race
60606,ZCTA5 60606,B03002_011,86,55,No,Two or more races,Excluding
60623,ZCTA5 60623,B03002_011,297,142,No,Two or more races,Excluding
60629,ZCTA5 60629,B03002_011,719,305,No,Two or more races,Excluding
60633,ZCTA5 60633,B03002_011,46,39,No,Two or more races,Excluding
60638,ZCTA5 60638,B03002_011,549,245,No,Two or more races,Excluding
60640,ZCTA5 60640,B03002_011,1704,389,No,Two or more races,Excluding
60649,ZCTA5 60649,B03002_011,609,206,No,Two or more races,Excluding
60655,ZCTA5 60655,B03002_011,269,139,No,Two or more races,Excluding
60661,ZCTA5 60661,B03002_011,253,153,No,Two or more races,Excluding
60610,ZCTA5 60610,B03002_011,589,233,No,Two or more races,Excluding
60622,ZCTA5 60622,B03002_011,1318,269,No,Two or more races,Excluding
60660,ZCTA5 60660,B03002_011,1095,251,No,Two or more races,Excluding
60602,ZCTA5 60602,B03002_011,21,31,No,Two or more races,Excluding
60657,ZCTA5 60657,B03002_011,1891,310,No,Two or more races,Excluding
60654,ZCTA5 60654,B03002_011,558,252,No,Two or more races,Excluding
60659,ZCTA5 60659,B03002_011,1473,568,No,Two or more races,Excluding
60603,ZCTA5 60603,B03002_011,18,25,No,Two or more races,Excluding
60642,ZCTA5 60642,B03002_011,532,164,No,Two or more races,Excluding
60656,ZCTA5 60656,B03002_011,647,318,No,Two or more races,Excluding
60611,ZCTA5 60611,B03002_011,684,334,No,Two or more races,Excluding
60616,ZCTA5 60616,B03002_011,901,317,No,Two or more races,Excluding
60651,ZCTA5 60651,B03002_011,580,398,No,Two or more races,Excluding
60604,ZCTA5 60604,B03002_011,0,11,No,Two or more races,Excluding
60612,ZCTA5 60612,B03002_011,502,134,No,Two or more races,Excluding
60613,ZCTA5 60613,B03002_011,1346,384,No,Two or more races,Excluding
60617,ZCTA5 60617,B03002_011,288,146,No,Two or more races,Excluding
60618,ZCTA5 60618,B03002_011,2512,461,No,Two or more races,Excluding
60624,ZCTA5 60624,B03002_011,344,182,No,Two or more races,Excluding
60626,ZCTA5 60626,B03002_011,1290,266,No,Two or more races,Excluding
60630,ZCTA5 60630,B03002_011,1645,451,No,Two or more races,Excluding
60632,ZCTA5 60632,B03002_011,364,248,No,Two or more races,Excluding
60645,ZCTA5 60645,B03002_011,1723,448,No,Two or more races,Excluding
60653,ZCTA5 60653,B03002_011,498,147,No,Two or more races,Excluding
60628,ZCTA5 60628,B03002_020,33,49,Yes,Two or more races,Including
60641,ZCTA5 60641,B03002_020,935,386,Yes,Two or more races,Including
60607,ZCTA5 60607,B03002_020,82,74,Yes,Two or more races,Including
60609,ZCTA5 60609,B03002_020,429,194,Yes,Two or more races,Including
60625,ZCTA5 60625,B03002_020,732,269,Yes,Two or more races,Including
60646,ZCTA5 60646,B03002_020,103,109,Yes,Two or more races,Including
60652,ZCTA5 60652,B03002_020,293,178,Yes,Two or more races,Including
60614,ZCTA5 60614,B03002_020,72,44,Yes,Two or more races,Including
60615,ZCTA5 60615,B03002_020,101,78,Yes,Two or more races,Including
60619,ZCTA5 60619,B03002_020,137,134,Yes,Two or more races,Including
60621,ZCTA5 60621,B03002_020,20,37,Yes,Two or more races,Including
60636,ZCTA5 60636,B03002_020,78,65,Yes,Two or more races,Including
60639,ZCTA5 60639,B03002_020,1136,383,Yes,Two or more races,Including
60643,ZCTA5 60643,B03002_020,279,317,Yes,Two or more races,Including
60647,ZCTA5 60647,B03002_020,685,203,Yes,Two or more races,Including
60631,ZCTA5 60631,B03002_020,165,101,Yes,Two or more races,Including
60601,ZCTA5 60601,B03002_020,0,17,Yes,Two or more races,Including
60608,ZCTA5 60608,B03002_020,589,210,Yes,Two or more races,Including
60620,ZCTA5 60620,B03002_020,113,105,Yes,Two or more races,Including
60634,ZCTA5 60634,B03002_020,779,297,Yes,Two or more races,Including
60637,ZCTA5 60637,B03002_020,50,36,Yes,Two or more races,Including
60644,ZCTA5 60644,B03002_020,153,114,Yes,Two or more races,Including
60605,ZCTA5 60605,B03002_020,52,55,Yes,Two or more races,Including
60606,ZCTA5 60606,B03002_020,68,91,Yes,Two or more races,Including
60623,ZCTA5 60623,B03002_020,288,158,Yes,Two or more races,Including
60629,ZCTA5 60629,B03002_020,966,408,Yes,Two or more races,Including
60633,ZCTA5 60633,B03002_020,55,61,Yes,Two or more races,Including
60638,ZCTA5 60638,B03002_020,1139,531,Yes,Two or more races,Including
60640,ZCTA5 60640,B03002_020,128,78,Yes,Two or more races,Including
60649,ZCTA5 60649,B03002_020,59,67,Yes,Two or more races,Including
60655,ZCTA5 60655,B03002_020,5,8,Yes,Two or more races,Including
60661,ZCTA5 60661,B03002_020,16,25,Yes,Two or more races,Including
60610,ZCTA5 60610,B03002_020,31,41,Yes,Two or more races,Including
60622,ZCTA5 60622,B03002_020,425,197,Yes,Two or more races,Including
60660,ZCTA5 60660,B03002_020,165,90,Yes,Two or more races,Including
60602,ZCTA5 60602,B03002_020,0,11,Yes,Two or more races,Including
60657,ZCTA5 60657,B03002_020,64,39,Yes,Two or more races,Including
60654,ZCTA5 60654,B03002_020,0,17,Yes,Two or more races,Including
60659,ZCTA5 60659,B03002_020,173,111,Yes,Two or more races,Including
60603,ZCTA5 60603,B03002_020,0,11,Yes,Two or more races,Including
60642,ZCTA5 60642,B03002_020,141,73,Yes,Two or more races,Including
60656,ZCTA5 60656,B03002_020,237,196,Yes,Two or more races,Including
60611,ZCTA5 60611,B03002_020,11,22,Yes,Two or more races,Including
60616,ZCTA5 60616,B03002_020,10,17,Yes,Two or more races,Including
60651,ZCTA5 60651,B03002_020,688,511,Yes,Two or more races,Including
60604,ZCTA5 60604,B03002_020,0,11,Yes,Two or more races,Including
60612,ZCTA5 60612,B03002_020,186,118,Yes,Two or more races,Including
60613,ZCTA5 60613,B03002_020,174,145,Yes,Two or more races,Including
60617,ZCTA5 60617,B03002_020,740,308,Yes,Two or more races,Including
60618,ZCTA5 60618,B03002_020,673,240,Yes,Two or more races,Including
60624,ZCTA5 60624,B03002_020,51,58,Yes,Two or more races,Including
60626,ZCTA5 60626,B03002_020,112,72,Yes,Two or more races,Including
60630,ZCTA5 60630,B03002_020,763,322,Yes,Two or more races,Including
60632,ZCTA5 60632,B03002_020,1060,315,Yes,Two or more races,Including
60645,ZCTA5 60645,B03002_020,35,41,Yes,Two or more races,Including
60653,ZCTA5 60653,B03002_020,0,23,Yes,Two or more races,Including
60628,ZCTA5 60628,B03002_021,26,31,Yes,Two or more races,Excluding
60641,ZCTA5 60641,B03002_021,510,187,Yes,Two or more races,Excluding
60607,ZCTA5 60607,B03002_021,116,86,Yes,Two or more races,Excluding
60609,ZCTA5 60609,B03002_021,412,181,Yes,Two or more races,Excluding
60625,ZCTA5 60625,B03002_021,572,259,Yes,Two or more races,Excluding
60646,ZCTA5 60646,B03002_021,52,45,Yes,Two or more races,Excluding
60652,ZCTA5 60652,B03002_021,92,77,Yes,Two or more races,Excluding
60614,ZCTA5 60614,B03002_021,93,57,Yes,Two or more races,Excluding
60615,ZCTA5 60615,B03002_021,40,32,Yes,Two or more races,Excluding
60619,ZCTA5 60619,B03002_021,146,164,Yes,Two or more races,Excluding
60621,ZCTA5 60621,B03002_021,6,9,Yes,Two or more races,Excluding
60636,ZCTA5 60636,B03002_021,24,30,Yes,Two or more races,Excluding
60639,ZCTA5 60639,B03002_021,794,333,Yes,Two or more races,Excluding
60643,ZCTA5 60643,B03002_021,56,84,Yes,Two or more races,Excluding
60647,ZCTA5 60647,B03002_021,758,246,Yes,Two or more races,Excluding
60631,ZCTA5 60631,B03002_021,48,53,Yes,Two or more races,Excluding
60601,ZCTA5 60601,B03002_021,0,17,Yes,Two or more races,Excluding
60608,ZCTA5 60608,B03002_021,464,226,Yes,Two or more races,Excluding
60620,ZCTA5 60620,B03002_021,44,45,Yes,Two or more races,Excluding
60634,ZCTA5 60634,B03002_021,333,182,Yes,Two or more races,Excluding
60637,ZCTA5 60637,B03002_021,39,26,Yes,Two or more races,Excluding
60644,ZCTA5 60644,B03002_021,0,23,Yes,Two or more races,Excluding
60605,ZCTA5 60605,B03002_021,42,43,Yes,Two or more races,Excluding
60606,ZCTA5 60606,B03002_021,0,11,Yes,Two or more races,Excluding
60623,ZCTA5 60623,B03002_021,481,192,Yes,Two or more races,Excluding
60629,ZCTA5 60629,B03002_021,423,203,Yes,Two or more races,Excluding
60633,ZCTA5 60633,B03002_021,0,17,Yes,Two or more races,Excluding
60638,ZCTA5 60638,B03002_021,351,235,Yes,Two or more races,Excluding
60640,ZCTA5 60640,B03002_021,368,185,Yes,Two or more races,Excluding
60649,ZCTA5 60649,B03002_021,0,23,Yes,Two or more races,Excluding
60655,ZCTA5 60655,B03002_021,7,14,Yes,Two or more races,Excluding
60661,ZCTA5 60661,B03002_021,13,21,Yes,Two or more races,Excluding
60610,ZCTA5 60610,B03002_021,91,97,Yes,Two or more races,Excluding
60622,ZCTA5 60622,B03002_021,212,113,Yes,Two or more races,Excluding
60660,ZCTA5 60660,B03002_021,51,40,Yes,Two or more races,Excluding
60602,ZCTA5 60602,B03002_021,20,34,Yes,Two or more races,Excluding
60657,ZCTA5 60657,B03002_021,138,77,Yes,Two or more races,Excluding
60654,ZCTA5 60654,B03002_021,17,27,Yes,Two or more races,Excluding
60659,ZCTA5 60659,B03002_021,171,165,Yes,Two or more races,Excluding
60603,ZCTA5 60603,B03002_021,49,73,Yes,Two or more races,Excluding
60642,ZCTA5 60642,B03002_021,144,120,Yes,Two or more races,Excluding
60656,ZCTA5 60656,B03002_021,35,48,Yes,Two or more races,Excluding
60611,ZCTA5 60611,B03002_021,62,40,Yes,Two or more races,Excluding
