County,State,variable,estimate,label
Boone, Indiana,B19101_012,1610,"$60,000 to $74,999"
Boone, Indiana,B19101_013,2950,"$75,000 to $99,999"
Boone, Indiana,B19101_014,2061,"$100,000 to $124,999"
Boone, Indiana,B19101_015,1600,"$125,000 to $149,999"
Boone, Indiana,B19101_016,2230,"$150,000 to $199,999"
Boone, Indiana,B19101_017,2936,"$200,000 or more"
Brown, Indiana,B19101_002,102,"Less than $10,000"
Brown, Indiana,B19101_003,68,"$10,000 to $14,999"
Brown, Indiana,B19101_004,98,"$15,000 to $19,999"
Brown, Indiana,B19101_005,229,"$20,000 to $24,999"
Brown, Indiana,B19101_006,245,"$25,000 to $29,999"
Brown, Indiana,B19101_007,106,"$30,000 to $34,999"
Brown, Indiana,B19101_008,145,"$35,000 to $39,999"
Brown, Indiana,B19101_009,136,"$40,000 to $44,999"
Brown, Indiana,B19101_010,189,"$45,000 to $49,999"
Brown, Indiana,B19101_011,419,"$50,000 to $59,999"
Brown, Indiana,B19101_012,465,"$60,000 to $74,999"
Brown, Indiana,B19101_013,847,"$75,000 to $99,999"
Brown, Indiana,B19101_014,637,"$100,000 to $124,999"
Brown, Indiana,B19101_015,308,"$125,000 to $149,999"
Brown, Indiana,B19101_016,256,"$150,000 to $199,999"
Brown, Indiana,B19101_017,180,"$200,000 or more"
Carroll, Indiana,B19101_002,106,"Less than $10,000"
Carroll, Indiana,B19101_003,131,"$10,000 to $14,999"
Carroll, Indiana,B19101_004,171,"$15,000 to $19,999"
Carroll, Indiana,B19101_005,193,"$20,000 to $24,999"
Carroll, Indiana,B19101_006,250,"$25,000 to $29,999"
Carroll, Indiana,B19101_007,294,"$30,000 to $34,999"
Carroll, Indiana,B19101_008,225,"$35,000 to $39,999"
Carroll, Indiana,B19101_009,274,"$40,000 to $44,999"
Carroll, Indiana,B19101_010,241,"$45,000 to $49,999"
Carroll, Indiana,B19101_011,502,"$50,000 to $59,999"
Carroll, Indiana,B19101_012,722,"$60,000 to $74,999"
Carroll, Indiana,B19101_013,743,"$75,000 to $99,999"
Carroll, Indiana,B19101_014,660,"$100,000 to $124,999"
Carroll, Indiana,B19101_015,392,"$125,000 to $149,999"
Carroll, Indiana,B19101_016,359,"$150,000 to $199,999"
Carroll, Indiana,B19101_017,205,"$200,000 or more"
Cass, Indiana,B19101_002,473,"Less than $10,000"
Cass, Indiana,B19101_003,141,"$10,000 to $14,999"
Cass, Indiana,B19101_004,194,"$15,000 to $19,999"
Cass, Indiana,B19101_005,387,"$20,000 to $24,999"
Cass, Indiana,B19101_006,454,"$25,000 to $29,999"
Cass, Indiana,B19101_007,513,"$30,000 to $34,999"
Cass, Indiana,B19101_008,603,"$35,000 to $39,999"
Cass, Indiana,B19101_009,458,"$40,000 to $44,999"
Cass, Indiana,B19101_010,473,"$45,000 to $49,999"
Cass, Indiana,B19101_011,1106,"$50,000 to $59,999"
Cass, Indiana,B19101_012,1378,"$60,000 to $74,999"
Cass, Indiana,B19101_013,1372,"$75,000 to $99,999"
Cass, Indiana,B19101_014,1208,"$100,000 to $124,999"
Cass, Indiana,B19101_015,311,"$125,000 to $149,999"
Cass, Indiana,B19101_016,371,"$150,000 to $199,999"
Cass, Indiana,B19101_017,164,"$200,000 or more"
Clark, Indiana,B19101_002,791,"Less than $10,000"
Clark, Indiana,B19101_003,369,"$10,000 to $14,999"
Clark, Indiana,B19101_004,758,"$15,000 to $19,999"
Clark, Indiana,B19101_005,1020,"$20,000 to $24,999"
Clark, Indiana,B19101_006,1075,"$25,000 to $29,999"
Clark, Indiana,B19101_007,1195,"$30,000 to $34,999"
Clark, Indiana,B19101_008,1507,"$35,000 to $39,999"
Clark, Indiana,B19101_009,1567,"$40,000 to $44,999"
Clark, Indiana,B19101_010,1553,"$45,000 to $49,999"
Clark, Indiana,B19101_011,2363,"$50,000 to $59,999"
Clark, Indiana,B19101_012,3464,"$60,000 to $74,999"
Clark, Indiana,B19101_013,4992,"$75,000 to $99,999"
Clark, Indiana,B19101_014,3451,"$100,000 to $124,999"
Clark, Indiana,B19101_015,1831,"$125,000 to $149,999"
Clark, Indiana,B19101_016,1555,"$150,000 to $199,999"
Clark, Indiana,B19101_017,1093,"$200,000 or more"
Clay, Indiana,B19101_002,345,"Less than $10,000"
Clay, Indiana,B19101_003,157,"$10,000 to $14,999"
Clay, Indiana,B19101_004,218,"$15,000 to $19,999"
Clay, Indiana,B19101_005,343,"$20,000 to $24,999"
Clay, Indiana,B19101_006,228,"$25,000 to $29,999"
Clay, Indiana,B19101_007,481,"$30,000 to $34,999"
Clay, Indiana,B19101_008,378,"$35,000 to $39,999"
Clay, Indiana,B19101_009,352,"$40,000 to $44,999"
Clay, Indiana,B19101_010,321,"$45,000 to $49,999"
Clay, Indiana,B19101_011,668,"$50,000 to $59,999"
Clay, Indiana,B19101_012,1177,"$60,000 to $74,999"
Clay, Indiana,B19101_013,1115,"$75,000 to $99,999"
Clay, Indiana,B19101_014,752,"$100,000 to $124,999"
Clay, Indiana,B19101_015,430,"$125,000 to $149,999"
Clay, Indiana,B19101_016,405,"$150,000 to $199,999"
Clay, Indiana,B19101_017,117,"$200,000 or more"
Clinton, Indiana,B19101_002,129,"Less than $10,000"
Clinton, Indiana,B19101_003,136,"$10,000 to $14,999"
Clinton, Indiana,B19101_004,181,"$15,000 to $19,999"
Clinton, Indiana,B19101_005,423,"$20,000 to $24,999"
Clinton, Indiana,B19101_006,238,"$25,000 to $29,999"
Clinton, Indiana,B19101_007,476,"$30,000 to $34,999"
Clinton, Indiana,B19101_008,442,"$35,000 to $39,999"
Clinton, Indiana,B19101_009,371,"$40,000 to $44,999"
Clinton, Indiana,B19101_010,404,"$45,000 to $49,999"
Clinton, Indiana,B19101_011,955,"$50,000 to $59,999"
Clinton, Indiana,B19101_012,1016,"$60,000 to $74,999"
Clinton, Indiana,B19101_013,1522,"$75,000 to $99,999"
Clinton, Indiana,B19101_014,932,"$100,000 to $124,999"
Clinton, Indiana,B19101_015,435,"$125,000 to $149,999"
Clinton, Indiana,B19101_016,238,"$150,000 to $199,999"
Clinton, Indiana,B19101_017,233,"$200,000 or more"
Crawford, Indiana,B19101_002,114,"Less than $10,000"
Crawford, Indiana,B19101_003,92,"$10,000 to $14,999"
Crawford, Indiana,B19101_004,133,"$15,000 to $19,999"
Crawford, Indiana,B19101_005,181,"$20,000 to $24,999"
Crawford, Indiana,B19101_006,117,"$25,000 to $29,999"
Crawford, Indiana,B19101_007,153,"$30,000 to $34,999"
Crawford, Indiana,B19101_008,83,"$35,000 to $39,999"
Crawford, Indiana,B19101_009,140,"$40,000 to $44,999"
Crawford, Indiana,B19101_010,189,"$45,000 to $49,999"
Crawford, Indiana,B19101_011,296,"$50,000 to $59,999"
Crawford, Indiana,B19101_012,470,"$60,000 to $74,999"
Crawford, Indiana,B19101_013,361,"$75,000 to $99,999"
Crawford, Indiana,B19101_014,165,"$100,000 to $124,999"
