GEOID,NAME,variable,estimate,moe,Sex,Age,zip_pop,prop_sex,prop_age,prop_sex_age
60612,ZCTA5 60612,B01001I_006,130,73,Male,15 to 17 years,4206,0.48335710889205896,0.04184498335710889,0.030908226343319068
60612,ZCTA5 60612,B01001I_007,51,42,Male,18 and 19 years,4206,0.48335710889205896,0.03875416072277699,0.012125534950071327
60612,ZCTA5 60612,B01001I_008,117,50,Male,20 to 24 years,4206,0.48335710889205896,0.0884450784593438,0.02781740370898716
60612,ZCTA5 60612,B01001I_009,233,94,Male,25 to 29 years,4206,0.48335710889205896,0.10746552543984783,0.055397051830718025
60612,ZCTA5 60612,B01001I_010,181,66,Male,30 to 34 years,4206,0.48335710889205896,0.08892058963385639,0.04303376129339039
60612,ZCTA5 60612,B01001I_011,381,116,Male,35 to 44 years,4206,0.48335710889205896,0.1823585354255825,0.0905848787446505
60612,ZCTA5 60612,B01001I_012,332,105,Male,45 to 54 years,4206,0.48335710889205896,0.11721350451735615,0.07893485496909178
60612,ZCTA5 60612,B01001I_013,190,81,Male,55 to 64 years,4206,0.48335710889205896,0.09272467902995721,0.0451735615786971
60612,ZCTA5 60612,B01001I_014,91,36,Male,65 to 74 years,4206,0.48335710889205896,0.05587256300523062,0.02163575844032335
60612,ZCTA5 60612,B01001I_015,40,36,Male,75 to 84 years,4206,0.48335710889205896,0.02781740370898716,0.009510223490252021
60612,ZCTA5 60612,B01001I_016,8,12,Male,85 years and over,4206,0.48335710889205896,0.005230622919638612,0.0019020446980504042
60612,ZCTA5 60612,B01001I_018,140,75,Female,Under 5 years,4206,0.516642891107941,0.05111745126010461,0.033285782215882076
60612,ZCTA5 60612,B01001I_019,95,62,Female,5 to 9 years,4206,0.516642891107941,0.04041844983357109,0.02258678078934855
60612,ZCTA5 60612,B01001I_020,131,67,Female,10 to 14 years,4206,0.516642891107941,0.061816452686638136,0.03114598193057537
60612,ZCTA5 60612,B01001I_021,46,30,Female,15 to 17 years,4206,0.516642891107941,0.04184498335710889,0.010936757013789824
60612,ZCTA5 60612,B01001I_022,112,63,Female,18 and 19 years,4206,0.516642891107941,0.03875416072277699,0.02662862577270566
60612,ZCTA5 60612,B01001I_023,255,134,Female,20 to 24 years,4206,0.516642891107941,0.0884450784593438,0.06062767475035663
60612,ZCTA5 60612,B01001I_024,219,79,Female,25 to 29 years,4206,0.516642891107941,0.10746552543984783,0.05206847360912981
60612,ZCTA5 60612,B01001I_025,193,92,Female,30 to 34 years,4206,0.516642891107941,0.08892058963385639,0.045886828340466
60612,ZCTA5 60612,B01001I_026,386,113,Female,35 to 44 years,4206,0.516642891107941,0.1823585354255825,0.091773656680932
60612,ZCTA5 60612,B01001I_027,161,72,Female,45 to 54 years,4206,0.516642891107941,0.11721350451735615,0.03827864954826438
60612,ZCTA5 60612,B01001I_028,200,69,Female,55 to 64 years,4206,0.516642891107941,0.09272467902995721,0.0475511174512601
60612,ZCTA5 60612,B01001I_029,144,69,Female,65 to 74 years,4206,0.516642891107941,0.05587256300523062,0.034236804564907276
60612,ZCTA5 60612,B01001I_030,77,52,Female,75 to 84 years,4206,0.516642891107941,0.02781740370898716,0.01830718021873514
60612,ZCTA5 60612,B01001I_031,14,17,Female,85 years and over,4206,0.516642891107941,0.005230622919638612,0.0033285782215882074
60613,ZCTA5 60613,B01001I_003,210,123,Male,Under 5 years,5662,0.5450370893677146,0.054221123277993645,0.037089367714588484
60613,ZCTA5 60613,B01001I_004,168,103,Male,5 to 9 years,5662,0.5450370893677146,0.04274108089014483,0.02967149417167079
60613,ZCTA5 60613,B01001I_005,139,164,Male,10 to 14 years,5662,0.5450370893677146,0.032144118685976684,0.024549629106322853
60613,ZCTA5 60613,B01001I_006,65,56,Male,15 to 17 years,5662,0.5450370893677146,0.03355704697986577,0.011480042387848817
60613,ZCTA5 60613,B01001I_007,42,45,Male,18 and 19 years,5662,0.5450370893677146,0.007417873542917697,0.007417873542917697
60613,ZCTA5 60613,B01001I_008,375,157,Male,20 to 24 years,5662,0.5450370893677146,0.1253973860826563,0.06623101377605087
60613,ZCTA5 60613,B01001I_009,525,202,Male,25 to 29 years,5662,0.5450370893677146,0.17167078770752384,0.09272341928647121
60613,ZCTA5 60613,B01001I_010,265,138,Male,30 to 34 years,5662,0.5450370893677146,0.0971388202048746,0.04680324973507594
60613,ZCTA5 60613,B01001I_011,457,214,Male,35 to 44 years,5662,0.5450370893677146,0.17008124337689862,0.080713528788414
60613,ZCTA5 60613,B01001I_012,366,204,Male,45 to 54 years,5662,0.5450370893677146,0.08371600141292829,0.06464146944542565
60613,ZCTA5 60613,B01001I_013,251,146,Male,55 to 64 years,5662,0.5450370893677146,0.10084775697633346,0.04433062522077005
60613,ZCTA5 60613,B01001I_014,159,97,Male,65 to 74 years,5662,0.5450370893677146,0.04945249028611798,0.02808194984104557
60613,ZCTA5 60613,B01001I_015,56,38,Male,75 to 84 years,5662,0.5450370893677146,0.026492405510420345,0.009890498057223597
60613,ZCTA5 60613,B01001I_016,8,13,Male,85 years and over,5662,0.5450370893677146,0.005121865065347933,0.001412928293889085
60613,ZCTA5 60613,B01001I_018,97,49,Female,Under 5 years,5662,0.4549629106322854,0.054221123277993645,0.017131755563405158
60613,ZCTA5 60613,B01001I_019,74,52,Female,5 to 9 years,5662,0.4549629106322854,0.04274108089014483,0.013069586718474038
60613,ZCTA5 60613,B01001I_020,43,32,Female,10 to 14 years,5662,0.4549629106322854,0.032144118685976684,0.007594489579653832
60613,ZCTA5 60613,B01001I_021,125,158,Female,15 to 17 years,5662,0.4549629106322854,0.03355704697986577,0.022077004592016954
60613,ZCTA5 60613,B01001I_022,0,26,Female,18 and 19 years,5662,0.4549629106322854,0.007417873542917697,0
60613,ZCTA5 60613,B01001I_023,335,171,Female,20 to 24 years,5662,0.4549629106322854,0.1253973860826563,0.05916637230660544
60613,ZCTA5 60613,B01001I_024,447,155,Female,25 to 29 years,5662,0.4549629106322854,0.17167078770752384,0.07894736842105263
60613,ZCTA5 60613,B01001I_025,285,134,Female,30 to 34 years,5662,0.4549629106322854,0.0971388202048746,0.050335570469798654
60613,ZCTA5 60613,B01001I_026,506,212,Female,35 to 44 years,5662,0.4549629106322854,0.17008124337689862,0.08936771458848464
60613,ZCTA5 60613,B01001I_027,108,74,Female,45 to 54 years,5662,0.4549629106322854,0.08371600141292829,0.01907453196750265
60613,ZCTA5 60613,B01001I_028,320,132,Female,55 to 64 years,5662,0.4549629106322854,0.10084775697633346,0.0565171317555634
60613,ZCTA5 60613,B01001I_029,121,67,Female,65 to 74 years,5662,0.4549629106322854,0.04945249028611798,0.021370540445072413
60613,ZCTA5 60613,B01001I_030,94,75,Female,75 to 84 years,5662,0.4549629106322854,0.026492405510420345,0.01660190745319675
60613,ZCTA5 60613,B01001I_031,21,26,Female,85 years and over,5662,0.4549629106322854,0.005121865065347933,0.0037089367714588485
60614,ZCTA5 60614,B01001I_003,208,125,Male,Under 5 years,4317,0.5260597637248089,0.07597868890433171,0.04818160759786889
60614,ZCTA5 60614,B01001I_004,93,56,Male,5 to 9 years,4317,0.5260597637248089,0.031966643502432245,0.021542738012508687
60614,ZCTA5 60614,B01001I_005,51,44,Male,10 to 14 years,4317,0.5260597637248089,0.030113504748668057,0.0118137595552467
60614,ZCTA5 60614,B01001I_006,42,40,Male,15 to 17 years,4317,0.5260597637248089,0.030576789437109102,0.009728978457261988
60614,ZCTA5 60614,B01001I_007,142,88,Male,18 and 19 years,4317,0.5260597637248089,0.07551540421589066,0.03289321287931434
60614,ZCTA5 60614,B01001I_008,417,174,Male,20 to 24 years,4317,0.5260597637248089,0.14153347231873986,0.0965948575399583
60614,ZCTA5 60614,B01001I_009,364,127,Male,25 to 29 years,4317,0.5260597637248089,0.17581653926337734,0.08431781329627056
60614,ZCTA5 60614,B01001I_010,156,68,Male,30 to 34 years,4317,0.5260597637248089,0.08130646282140375,0.03613620569840167
60614,ZCTA5 60614,B01001I_011,351,133,Male,35 to 44 years,4317,0.5260597637248089,0.14315496872828354,0.08130646282140375
60614,ZCTA5 60614,B01001I_012,118,67,Male,45 to 54 years,4317,0.5260597637248089,0.0581422283993514,0.027333796618021773
60614,ZCTA5 60614,B01001I_013,188,79,Male,55 to 64 years,4317,0.5260597637248089,0.08061153578874218,0.04354876071345842
60614,ZCTA5 60614,B01001I_014,45,39,Male,65 to 74 years,4317,0.5260597637248089,0.02965022006022701,0.010423905489923557
60614,ZCTA5 60614,B01001I_015,74,67,Male,75 to 84 years,4317,0.5260597637248089,0.03961084086170952,0.01714153347231874
60614,ZCTA5 60614,B01001I_016,22,23,Male,85 years and over,4317,0.5260597637248089,0.006022700949733611,0.005096131572851517
60614,ZCTA5 60614,B01001I_018,120,65,Female,Under 5 years,4317,0.4739402362751911,0.07597868890433171,0.02779708130646282
60614,ZCTA5 60614,B01001I_019,45,50,Female,5 to 9 years,4317,0.4739402362751911,0.031966643502432245,0.010423905489923557
60614,ZCTA5 60614,B01001I_020,79,56,Female,10 to 14 years,4317,0.4739402362751911,0.030113504748668057,0.018299745193421358
60614,ZCTA5 60614,B01001I_021,90,64,Female,15 to 17 years,4317,0.4739402362751911,0.030576789437109102,0.020847810979847115
60614,ZCTA5 60614,B01001I_022,184,77,Female,18 and 19 years,4317,0.4739402362751911,0.07551540421589066,0.042622191336576326
60614,ZCTA5 60614,B01001I_023,194,73,Female,20 to 24 years,4317,0.4739402362751911,0.14153347231873986,0.04493861477878156
60614,ZCTA5 60614,B01001I_024,395,135,Female,25 to 29 years,4317,0.4739402362751911,0.17581653926337734,0.09149872596710679
60614,ZCTA5 60614,B01001I_025,195,84,Female,30 to 34 years,4317,0.4739402362751911,0.08130646282140375,0.045170257123002086
60614,ZCTA5 60614,B01001I_026,267,97,Female,35 to 44 years,4317,0.4739402362751911,0.14315496872828354,0.06184850590687978
60614,ZCTA5 60614,B01001I_027,133,76,Female,45 to 54 years,4317,0.4739402362751911,0.0581422283993514,0.030808431781329627
60614,ZCTA5 60614,B01001I_028,160,84,Female,55 to 64 years,4317,0.4739402362751911,0.08061153578874218,0.037062775075283765
60614,ZCTA5 60614,B01001I_029,83,55,Female,65 to 74 years,4317,0.4739402362751911,0.02965022006022701,0.01922631457030345
60614,ZCTA5 60614,B01001I_030,97,116,Female,75 to 84 years,4317,0.4739402362751911,0.03961084086170952,0.02246930738939078
60614,ZCTA5 60614,B01001I_031,4,9,Female,85 years and over,4317,0.4739402362751911,0.006022700949733611,9.26569376882094e-4
60615,ZCTA5 60615,B01001I_003,104,72,Male,Under 5 years,2573,0.5491643995336184,0.05596579867858531,0.04041974349008939
60615,ZCTA5 60615,B01001I_004,6,9,Male,5 to 9 years,2573,0.5491643995336184,0.04275165176836378,0.002331908278274388
60615,ZCTA5 60615,B01001I_005,57,52,Male,10 to 14 years,2573,0.5491643995336184,0.04430625728721337,0.022153128643606686
60615,ZCTA5 60615,B01001I_006,110,90,Male,15 to 17 years,2573,0.5491643995336184,0.0571317528177225,0.04275165176836378
60615,ZCTA5 60615,B01001I_007,71,62,Male,18 and 19 years,2573,0.5491643995336184,0.049358725223474544,0.027594247959580258
60615,ZCTA5 60615,B01001I_008,318,109,Male,20 to 24 years,2573,0.5491643995336184,0.24212980956082394,0.12359113874854255
60615,ZCTA5 60615,B01001I_009,153,85,Male,25 to 29 years,2573,0.5491643995336184,0.12281383598911776,0.05946366109599689
60615,ZCTA5 60615,B01001I_010,149,94,Male,30 to 34 years,2573,0.5491643995336184,0.10027205596579868,0.057909055577147296
60615,ZCTA5 60615,B01001I_011,190,91,Male,35 to 44 years,2573,0.5491643995336184,0.1317528177225029,0.07384376214535561
60615,ZCTA5 60615,B01001I_012,136,74,Male,45 to 54 years,2573,0.5491643995336184,0.08239409249902838,0.052856587640886125
60615,ZCTA5 60615,B01001I_013,38,43,Male,55 to 64 years,2573,0.5491643995336184,0.026039642440730666,0.014768752429071124
60615,ZCTA5 60615,B01001I_014,58,44,Male,65 to 74 years,2573,0.5491643995336184,0.03342401865526622,0.022541780023319084
60615,ZCTA5 60615,B01001I_015,17,27,Male,75 to 84 years,2573,0.5491643995336184,0.009327633113097552,0.006607073455110766
