ZIP,Cases
56014,<=5
56016,16
56017,19
56019,<=5
56020,0
56021,7
56022,<=5
56023,<=5
56024,32
56025,<=5
56026,17
56027,11
56028,11
56029,6
56030,0
56031,174
56032,0
56033,<=5
56034,<=5
56035,7
56036,11
56037,15
56039,0
56041,7
56042,<=5
56043,<=5
56044,22
56045,<=5
56046,<=5
56047,0
56048,53
56050,25
56051,<=5
56052,6
56054,0
56055,41
56056,<=5
56057,112
56058,60
56060,<=5
56062,190
56063,36
56065,14
56068,10
56069,73
56071,193
56072,17
56073,83
56074,14
56075,<=5
56078,<=5
56080,16
56081,202
56082,140
56083,8
56084,0
56085,32
56087,27
56088,20
56089,0
56090,7
56091,0
56093,218
56096,33
56097,19
56098,14
56101,124
56110,46
56111,<=5
56113,<=5
56114,<=5
56115,<=5
56116,<=5
56117,11
56118,<=5
56119,29
56120,40
56121,10
56122,35
56123,<=5
56125,0
56127,<=5
56128,36
56129,28
56131,45
56132,<=5
56134,8
56136,<=5
56137,19
56138,6
56139,9
56140,0
56141,7
56142,6
56143,38
56144,15
56145,7
56146,0
56147,<=5
56149,14
56150,21
56151,13
56152,8
56153,<=5
56155,19
56156,70
56157,8
56158,11
56159,53
56160,<=5
56161,11
56162,<=5
56164,128
56165,17
56166,<=5
56167,11
56168,24
56169,8
56170,<=5
56171,16
56172,40
56173,<=5
56174,<=5
56175,25
56176,16
56177,0
56178,39
56180,<=5
56181,<=5
56183,8
56185,15
56186,<=5
56187,1663
56201,692
56207,<=5
56208,11
56209,17
56210,0
56211,<=5
56212,0
56214,0
56215,39
56216,6
56218,<=5
56219,<=5
56220,42
56221,<=5
56222,15
56223,20
56224,0
56225,11
56226,0
56227,0
56228,<=5
56229,24
56230,<=5
56231,0
56232,12
56235,<=5
56236,<=5
56237,0
56239,16
56240,9
56241,18
56243,9
56244,19
56245,6
56248,19
56249,<=5
56251,15
56252,10
56253,<=5
56255,<=5
56256,<=5
56257,<=5
56258,384
56260,<=5
56262,21
56263,<=5
56264,66
56265,109
56266,6
56267,38
56270,<=5
56271,9
56273,23
56274,7
56276,0
56277,20
56278,12
56279,17
56280,7
56281,11
56282,15
56283,27
56284,23
56285,<=5
56287,<=5
56288,21
56289,<=5
56291,9
56292,0
56293,11
56294,0
56295,0
56296,14
56297,9
56301,1088
56302,15
56303,577
56304,518
56307,53
56308,129
56309,8
56310,36
56311,<=5
56312,10
56313,0
56314,<=5
56315,12
56316,16
56317,0
56318,6
56319,<=5
56320,162
56321,<=5
56323,<=5
56324,<=5
56325,<=5
56326,7
56327,<=5
56328,<=5
56329,71
56330,<=5
56331,20
56332,9
56333,0
56334,37
56335,0
56336,21
56338,<=5
56339,7
56340,14
56341,<=5
56342,<=5
56343,<=5
56344,0
56345,42
56347,328
56349,0
56350,0
56352,193
56353,35
56354,<=5
56355,<=5
56356,<=5
56357,8
56358,<=5
56359,12
56360,18
56361,<=5
56362,55
56363,<=5
56364,22
56367,34
56368,52
56369,45
56371,<=5
56372,0
56373,19
56374,143
56375,11
56376,<=5
56377,235
56378,81
56379,178
56381,10
56382,7
56384,8
56385,7
56386,0
56387,421
56388,0
56389,0
56393,0
56395,0
56396,0
56397,0
56398,0
56399,0
56401,149
56425,37
56430,0
56431,21
56433,<=5
56434,<=5
56435,<=5
56436,<=5
56437,<=5
56438,42
56440,16
56441,9
56442,16
56443,<=5
56444,<=5
56446,10
56447,<=5
56448,<=5
56449,<=5
56450,<=5
56452,<=5
56453,<=5
56455,<=5
56456,0
56458,<=5
56459,0
56461,8
56464,10
56465,26
56466,<=5
56467,<=5
56468,36
56469,9
56470,21
56472,30
56473,10
56474,20
56475,9
56477,18
56478,0
56479,14
56481,11
56482,18
56484,21
56501,111
56502,<=5
56510,15
56511,13
56514,20
56515,16
56516,<=5
56517,<=5
56518,<=5
56519,<=5
56520,41
56521,9
56522,<=5
56523,0
56524,<=5
56525,<=5
56527,<=5
56528,<=5
56529,64
56531,14
56533,0
56534,0
56535,14
56536,<=5
56537,100
56538,0
56540,11
56541,<=5
56542,6
56543,<=5
56544,21
56545,<=5
56546,<=5
56547,15
56548,10
56549,34
56550,0
56551,<=5
56552,0
56553,<=5
56554,20
56556,<=5
56557,24
56560,778
56561,0
56562,<=5
56563,0
56565,<=5
56566,<=5
56567,<=5
56568,0
56569,18
56570,0
56571,6
56572,93
56573,28
56574,<=5
56575,<=5
56576,<=5
56577,0
56578,7
56579,<=5
56580,9
56581,<=5
56583,0
56584,8
56585,7
56586,15
56587,<=5
56588,<=5
56589,<=5
56590,<=5
56591,<=5
56592,<=5
56593,0
56594,<=5
56601,258
56619,<=5
56621,9
56623,8
56626,<=5
56627,0
56628,<=5
56629,0
56630,6
56631,0
56633,22
56634,6
56636,30
56637,0
56639,0
56641,<=5
56644,<=5
56646,0
56647,<=5
56649,75
56650,<=5
56651,<=5
56652,<=5
56653,11
56654,0
56655,12
56657,0
56658,0
56659,0
56660,<=5
56661,<=5
56662,<=5
56663,<=5
56666,8
56667,<=5
56668,<=5
56669,0
56670,20
56671,19
56672,<=5
56673,<=5
56676,<=5
56678,8
56679,<=5
56680,0
56681,<=5
56682,0
56683,<=5
56684,0
56685,<=5
56686,<=5
56687,0
56688,0
56701,97
56710,<=5
56711,0
56713,0
56714,6
56715,0
56716,48
56720,0
56721,118
56722,<=5
56723,<=5
56724,0
56725,<=5
56726,<=5
56727,<=5
56728,<=5
56729,0
56731,0
56732,0
56733,<=5
56734,0
56735,<=5
56736,<=5
56737,0
56738,6
56740,0
56741,0
56742,<=5
56744,<=5
56748,<=5
56750,26
56751,31
56754,<=5
56755,0
56756,<=5
56757,<=5
56758,0
56759,<=5
56760,0
56761,<=5
56762,15
56763,23
Missing,283
