date,zipcode,confirmed_cases,confirmed_cases_change,confirmed_cases_change_pct,total_tested,total_tested_change,total_tested_change_pct,pct_population_moe,below_moe_threshold,cases_per_capita,cases_per_1000,confirmed_cases_unknown,confirmed_cases_less_than_20,confirmed_cases_20_to_29,confirmed_cases_30_to_39,confirmed_cases_40_to_49,confirmed_cases_50_to_59,confirmed_cases_60_to_69,confirmed_cases_70_to_79,confirmed_cases_80_or_more,total_tested_unknown,total_tested_less_than_20,total_tested_20_to_29,total_tested_30_to_39,total_tested_40_to_49,total_tested_50_to_59,total_tested_60_to_69,total_tested_70_to_79,total_tested_80_or_more,confirmed_cases_female,confirmed_cases_male,confirmed_cases_unknownleftblank,total_tested_female,total_tested_male,total_tested_unknownleftblank,confirmed_cases_aian,confirmed_cases_asian,confirmed_cases_black,confirmed_cases_hispanic,confirmed_cases_leftblank,confirmed_cases_nhpi,confirmed_cases_other,confirmed_cases_white,total_tested_aian,total_tested_asian,total_tested_black,total_tested_hispanic,total_tested_leftblank,total_tested_nhpi,total_tested_other,total_tested_white
9/30/2020,62912,25,0,0,301,3,1.01,0.21,FALSE,,,0,0,11,0,0,0,0,0,0,0,42,46,63,40,24,42,38,6,12,10,0,149,123,29,0,0,0,0,0,0,0,21,0,0,0,0,107,0,0,188
9/30/2020,62910,20,0,0,401,3,0.75,0.14,FALSE,,,0,0,0,0,0,6,0,0,0,0,42,49,44,53,82,71,44,16,8,12,0,223,159,19,0,0,0,0,6,0,0,14,0,0,6,0,192,0,0,198
9/30/2020,62908,13,0,0,97,0,0,0.26,FALSE,,,0,0,0,0,0,0,0,0,0,0,20,10,15,15,14,13,0,6,8,0,0,48,39,10,0,0,0,0,0,0,0,11,0,0,0,0,35,0,0,59
9/30/2020,62907,55,0,0,578,4,0.7,0.15,FALSE,,,0,6,12,9,16,10,0,0,0,0,72,99,75,79,102,70,56,25,26,28,0,265,198,115,0,0,0,0,0,0,0,49,0,0,6,6,246,0,0,316
9/30/2020,62906,267,0,0,3322,72,2.22,0.06,TRUE,0.04,40.55,0,33,40,27,33,36,31,22,45,0,286,421,367,407,435,412,331,660,127,115,25,1617,1422,283,0,0,0,11,52,0,0,198,0,10,54,49,1056,0,21,2127
9/30/2020,62905,17,0,0,234,0,0,0.27,FALSE,,,0,0,0,0,0,0,0,0,0,0,18,45,39,29,46,31,16,10,10,7,0,105,86,43,0,0,0,0,0,0,0,11,0,0,0,43,75,0,0,112
9/30/2020,62903,48,1,2.13,869,5,0.58,0.14,FALSE,,,0,0,15,0,8,9,0,0,0,0,99,248,91,136,95,98,88,14,21,19,8,353,268,248,0,0,7,8,11,0,0,22,0,6,38,23,399,0,11,391
9/30/2020,62902,67,0,0,1346,9,0.67,0.09,TRUE,0.01,14.67,0,7,18,10,9,10,9,0,0,0,123,253,178,179,201,231,130,50,26,32,9,519,464,363,0,0,0,11,13,0,0,38,0,0,52,34,606,0,19,631
9/30/2020,62901,688,4,0.58,9108,78,0.86,0.02,TRUE,0.03,26.24,0,127,327,72,40,34,46,17,25,10,1262,2940,1323,819,760,703,584,707,308,313,67,3687,2958,2463,0,6,142,83,121,0,15,319,0,48,980,232,3965,0,238,3643
9/30/2020,62899,10,1,11.11,301,8,2.73,0.17,FALSE,,,0,0,0,0,0,0,0,0,0,0,57,38,35,21,49,45,38,18,0,7,0,170,124,7,0,0,0,0,0,0,0,8,0,0,0,0,71,0,14,213
9/30/2020,62898,42,0,0,385,3,0.79,0.12,FALSE,,,0,8,0,8,6,6,7,0,0,0,53,36,71,55,71,38,42,19,24,18,0,215,162,8,0,0,0,0,16,0,0,26,0,0,0,7,71,0,0,297
9/30/2020,62897,13,0,0,90,0,0,0.38,FALSE,,,0,0,0,0,0,0,0,0,0,0,12,20,10,14,14,7,13,0,7,0,0,42,36,12,0,0,0,0,6,0,0,7,0,0,0,0,34,0,0,54
9/30/2020,62896,191,2,1.06,3510,24,0.69,0.02,TRUE,0.02,15.7,0,37,41,23,17,31,21,15,0,0,402,551,456,467,574,473,361,224,93,79,19,1655,1113,742,0,0,0,0,53,0,0,133,0,0,10,19,1542,0,73,1862
9/30/2020,62895,49,1,2.08,379,4,1.07,0.13,FALSE,,,0,10,7,7,0,10,0,6,0,0,55,52,82,34,45,41,50,20,22,27,0,228,142,9,0,0,0,0,0,0,0,45,0,0,0,0,58,0,8,309
9/30/2020,62894,17,0,0,238,0,0,0.14,FALSE,,,0,6,0,0,0,0,0,0,0,0,32,38,25,31,46,24,29,13,8,7,0,135,90,13,0,0,0,0,0,0,0,11,0,0,0,6,28,0,0,201
9/30/2020,62893,16,0,0,278,3,1.09,0.17,FALSE,,,0,0,0,0,0,0,0,0,0,0,34,38,58,34,49,41,18,6,8,8,0,129,116,33,0,0,0,0,0,0,0,14,0,0,0,0,75,0,0,190
9/30/2020,62890,46,0,0,622,5,0.81,0.15,FALSE,,,0,7,7,6,0,10,0,7,0,0,69,69,109,80,114,76,88,17,28,17,0,320,209,93,0,0,0,0,14,0,0,31,0,0,0,0,247,0,11,357
9/30/2020,62889,8,0,0,191,1,0.53,0.16,FALSE,,,0,0,0,0,0,0,0,0,0,0,15,48,24,10,38,30,18,8,0,0,0,109,75,7,0,0,0,0,0,0,0,6,0,0,0,0,74,0,0,106
9/30/2020,62888,32,1,3.23,402,3,0.75,0.14,FALSE,,,0,0,6,0,0,7,0,0,0,0,47,50,44,56,79,54,49,22,14,16,0,210,165,27,0,0,0,0,0,0,0,28,0,0,0,0,83,0,0,313
9/30/2020,62886,7,0,0,84,0,0,0.38,FALSE,,,0,0,0,0,0,0,0,0,0,0,10,0,11,8,21,20,9,0,0,0,0,61,19,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,55
9/30/2020,62885,9,0,0,147,2,1.38,0.3,FALSE,,,0,0,0,0,0,0,0,0,0,0,15,14,0,17,32,41,9,14,0,0,0,84,62,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,32,74
9/30/2020,62884,37,0,0,656,7,1.08,0.06,TRUE,0.01,13.62,0,0,10,0,7,0,0,6,0,0,78,102,67,97,100,92,78,42,17,17,0,343,239,74,0,0,0,0,13,0,0,23,0,0,0,0,201,0,0,447
9/30/2020,62883,9,0,0,132,1,0.76,0.4,FALSE,,,0,0,0,0,0,0,0,0,0,0,11,26,9,14,33,18,17,0,6,0,0,93,28,11,0,0,0,0,0,0,0,7,0,0,0,0,45,0,0,85
9/30/2020,62882,55,0,0,684,4,0.59,0.08,TRUE,0.02,23.04,0,0,14,0,8,8,8,6,0,0,87,116,97,112,92,108,49,23,31,24,0,403,234,47,0,0,0,0,6,0,0,44,0,7,0,6,193,0,20,453
9/30/2020,62881,140,1,0.72,3410,8,0.24,0.03,TRUE,0.01,12.91,0,20,18,18,20,24,19,12,9,0,276,440,444,456,489,524,403,378,78,62,0,2126,1167,117,0,0,0,0,36,0,0,99,0,0,20,13,1959,0,65,1351
9/30/2020,62880,18,1,5.88,164,1,0.61,0.25,FALSE,,,0,0,0,0,0,6,0,0,0,0,24,17,24,20,19,36,17,7,8,10,0,104,59,0,0,0,0,0,0,0,0,13,0,0,0,0,72,0,24,67
9/30/2020,62875,39,1,2.63,378,3,0.8,0.14,FALSE,,,0,0,0,0,10,6,9,0,0,0,36,59,24,78,61,58,48,12,28,11,0,225,112,41,0,0,0,0,0,0,0,34,0,0,0,0,150,0,18,208
9/30/2020,62874,9,0,0,88,1,1.15,0.3,FALSE,,,0,0,0,0,0,0,0,0,0,0,20,12,10,11,19,8,8,0,0,0,0,26,41,21,0,0,0,0,0,0,0,7,0,0,0,0,32,0,0,55
9/30/2020,62872,22,2,10,246,0,0,0.15,FALSE,,,0,0,0,0,0,7,0,0,0,0,51,36,23,34,35,28,26,13,13,9,0,138,98,10,0,0,0,0,0,0,0,18,0,0,0,7,57,0,9,169
9/30/2020,62871,7,0,0,86,1,1.18,0.18,FALSE,,,0,0,0,0,0,0,0,0,0,0,20,10,14,0,11,11,11,0,0,0,0,49,33,0,0,0,0,0,0,0,0,7,0,0,0,0,23,0,0,61
9/30/2020,62870,36,0,0,639,1,0.16,0.09,TRUE,0.02,17.22,0,0,0,0,0,8,11,0,0,0,65,84,60,74,74,92,96,94,18,18,0,389,235,15,0,0,0,0,6,0,0,30,0,0,6,0,266,0,17,349
9/30/2020,62869,31,0,0,435,1,0.23,0.1,FALSE,,,0,7,0,0,0,0,8,0,0,0,82,54,51,61,69,54,40,22,16,15,0,280,134,21,0,0,0,0,0,0,0,25,0,0,0,0,116,0,0,311
9/30/2020,62868,19,0,0,451,7,1.58,0.14,FALSE,,,0,0,6,0,0,0,0,0,0,0,88,69,55,71,78,54,21,15,13,6,0,281,164,6,0,0,0,0,0,0,0,17,0,0,0,0,79,0,0,365
9/30/2020,62865,46,0,0,463,5,1.09,0.15,FALSE,,,0,7,0,0,0,14,8,0,0,0,61,54,43,73,91,84,44,13,23,18,0,238,163,62,0,0,0,0,14,0,0,30,0,0,0,0,168,0,0,286
9/30/2020,62864,439,12,2.81,6772,28,0.42,0.01,TRUE,0.02,18.61,0,37,63,33,45,50,51,53,107,12,661,993,827,774,871,838,732,1064,269,156,14,4134,2324,314,0,0,21,13,147,0,9,246,0,21,388,134,2165,0,143,3918
9/30/2020,62863,150,2,1.35,2011,5,0.25,0.03,TRUE,0.02,15.27,0,28,13,22,24,18,16,9,20,0,247,333,239,231,228,192,137,401,78,63,9,1340,539,132,0,0,0,12,28,0,0,104,0,0,0,0,1138,0,0,867
9/30/2020,62860,6,0,0,110,0,0,0.29,FALSE,,,0,0,0,0,0,0,0,0,0,0,0,12,14,31,20,11,9,8,0,0,0,57,44,9,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,68
