NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Lake of the Woods County, Minnesota",Lake of the Woods County,Minnesota,MN,0,0,3740,NA,0,0
"Le Sueur County, Minnesota",Le Sueur County,Minnesota,MN,162,1,28887,0.617,3.462,560.806
"Lincoln County, Minnesota",Lincoln County,Minnesota,MN,51,0,5639,0,0,904.416
"Lyon County, Minnesota",Lyon County,Minnesota,MN,385,3,25474,0.779,11.777,1511.345
"McLeod County, Minnesota",McLeod County,Minnesota,MN,114,0,35893,0,0,317.611
"Mahnomen County, Minnesota",Mahnomen County,Minnesota,MN,18,1,5527,5.556,18.093,325.674
"Marshall County, Minnesota",Marshall County,Minnesota,MN,23,0,9336,0,0,246.358
"Martin County, Minnesota",Martin County,Minnesota,MN,190,5,19683,2.632,25.403,965.3
"Meeker County, Minnesota",Meeker County,Minnesota,MN,76,1,23222,1.316,4.306,327.276
"Mille Lacs County, Minnesota",Mille Lacs County,Minnesota,MN,48,2,26277,4.167,7.611,182.669
"Morrison County, Minnesota",Morrison County,Minnesota,MN,74,1,33386,1.351,2.995,221.65
"Mower County, Minnesota",Mower County,Minnesota,MN,1019,2,40062,0.196,4.992,2543.557
"Murray County, Minnesota",Murray County,Minnesota,MN,104,0,8194,0,0,1269.221
"Nicollet County, Minnesota",Nicollet County,Minnesota,MN,243,13,34274,5.35,37.93,708.992
"Nobles County, Minnesota",Nobles County,Minnesota,MN,1713,6,21629,0.35,27.741,7919.922
"Norman County, Minnesota",Norman County,Minnesota,MN,24,0,6375,0,0,376.471
"Olmsted County, Minnesota",Olmsted County,Minnesota,MN,1448,20,158293,1.381,12.635,914.759
"Otter Tail County, Minnesota",Otter Tail County,Minnesota,MN,134,1,58746,0.746,1.702,228.101
"Pennington County, Minnesota",Pennington County,Minnesota,MN,60,0,14119,0,0,424.959
"Pine County, Minnesota",Pine County,Minnesota,MN,119,0,29579,0,0,402.312
"Pipestone County, Minnesota",Pipestone County,Minnesota,MN,124,5,9126,4.032,54.789,1358.755
"Polk County, Minnesota",Polk County,Minnesota,MN,96,3,31364,3.125,9.565,306.083
"Pope County, Minnesota",Pope County,Minnesota,MN,28,0,11249,0,0,248.911
"Ramsey County, Minnesota",Ramsey County,Minnesota,MN,5890,247,550321,4.194,44.883,1070.284
"Red Lake County, Minnesota",Red Lake County,Minnesota,MN,5,0,4055,0,0,123.305
"Redwood County, Minnesota",Redwood County,Minnesota,MN,27,0,15170,0,0,177.983
"Renville County, Minnesota",Renville County,Minnesota,MN,44,4,14548,9.091,27.495,302.447
"Rice County, Minnesota",Rice County,Minnesota,MN,924,8,66972,0.866,11.945,1379.681
"Rock County, Minnesota",Rock County,Minnesota,MN,45,0,9315,0,0,483.092
"Roseau County, Minnesota",Roseau County,Minnesota,MN,34,0,15165,0,0,224.2
"St. Louis County, Minnesota",St. Louis County,Minnesota,MN,299,16,199070,5.351,8.037,150.198
"Scott County, Minnesota",Scott County,Minnesota,MN,1072,7,149013,0.653,4.698,719.4
"Sherburne County, Minnesota",Sherburne County,Minnesota,MN,459,5,97238,1.089,5.142,472.038
"Sibley County, Minnesota",Sibley County,Minnesota,MN,69,2,14865,2.899,13.454,464.178
"Stearns County, Minnesota",Stearns County,Minnesota,MN,2666,19,161075,0.713,11.796,1655.13
"Steele County, Minnesota",Steele County,Minnesota,MN,291,1,36649,0.344,2.729,794.019
"Stevens County, Minnesota",Stevens County,Minnesota,MN,14,0,9805,0,0,142.784
"Swift County, Minnesota",Swift County,Minnesota,MN,47,1,9266,2.128,10.792,507.231
"Todd County, Minnesota",Todd County,Minnesota,MN,405,2,24664,0.494,8.109,1642.069
"Traverse County, Minnesota",Traverse County,Minnesota,MN,9,0,3259,0,0,276.158
"Wabasha County, Minnesota",Wabasha County,Minnesota,MN,59,0,21627,0,0,272.807
"Wadena County, Minnesota",Wadena County,Minnesota,MN,20,0,13682,0,0,146.177
"Waseca County, Minnesota",Waseca County,Minnesota,MN,98,0,18612,0,0,526.542
"Washington County, Minnesota",Washington County,Minnesota,MN,1550,40,262440,2.581,15.242,590.611
"Watonwan County, Minnesota",Watonwan County,Minnesota,MN,282,0,10897,0,0,2587.868
"Wilkin County, Minnesota",Wilkin County,Minnesota,MN,23,3,6207,13.043,48.333,370.549
"Winona County, Minnesota",Winona County,Minnesota,MN,193,16,50484,8.29,31.693,382.299
"Wright County, Minnesota",Wright County,Minnesota,MN,652,4,138377,0.613,2.891,471.177
"Yellow Medicine County, Minnesota",Yellow Medicine County,Minnesota,MN,37,0,9709,0,0,381.09
"Statewide Unallocated, Ohio",Statewide Unallocated,Ohio,OH,1,0,0,0,NA,NA
"Adams County, Ohio",Adams County,Ohio,OH,39,2,27698,5.128,7.221,140.804
"Allen County, Ohio",Allen County,Ohio,OH,486,41,102351,8.436,40.058,474.837
"Ashland County, Ohio",Ashland County,Ohio,OH,103,4,53484,3.883,7.479,192.581
"Ashtabula County, Ohio",Ashtabula County,Ohio,OH,489,44,97241,8.998,45.248,502.874
"Athens County, Ohio",Athens County,Ohio,OH,292,1,65327,0.342,1.531,446.982
"Auglaize County, Ohio",Auglaize County,Ohio,OH,147,5,45656,3.401,10.951,321.973
"Belmont County, Ohio",Belmont County,Ohio,OH,578,26,67006,4.498,38.802,862.609
"Brown County, Ohio",Brown County,Ohio,OH,76,1,43432,1.316,2.302,174.986
"Butler County, Ohio",Butler County,Ohio,OH,2230,52,383134,2.332,13.572,582.042
"Carroll County, Ohio",Carroll County,Ohio,OH,90,4,26914,4.444,14.862,334.398
"Champaign County, Ohio",Champaign County,Ohio,OH,77,1,38885,1.299,2.572,198.02
"Clark County, Ohio",Clark County,Ohio,OH,951,11,134083,1.157,8.204,709.262
"Clermont County, Ohio",Clermont County,Ohio,OH,671,9,206428,1.341,4.36,325.053
"Clinton County, Ohio",Clinton County,Ohio,OH,119,4,41968,3.361,9.531,283.549
"Columbiana County, Ohio",Columbiana County,Ohio,OH,1477,62,101883,4.198,60.854,1449.702
"Coshocton County, Ohio",Coshocton County,Ohio,OH,167,4,36600,2.395,10.929,456.284
"Crawford County, Ohio",Crawford County,Ohio,OH,153,5,41494,3.268,12.05,368.728
"Cuyahoga County, Ohio",Cuyahoga County,Ohio,OH,11015,432,1235072,3.922,34.978,891.851
"Darke County, Ohio",Darke County,Ohio,OH,271,26,51113,9.594,50.868,530.198
"Defiance County, Ohio",Defiance County,Ohio,OH,88,4,38087,4.545,10.502,231.05
"Delaware County, Ohio",Delaware County,Ohio,OH,977,15,209177,1.535,7.171,467.069
"Erie County, Ohio",Erie County,Ohio,OH,390,22,74266,5.641,29.623,525.139
"Fairfield County, Ohio",Fairfield County,Ohio,OH,970,18,157574,1.856,11.423,615.584
"Fayette County, Ohio",Fayette County,Ohio,OH,64,0,28525,0,0,224.365
"Franklin County, Ohio",Franklin County,Ohio,OH,14736,478,1316756,3.244,36.301,1119.114
"Fulton County, Ohio",Fulton County,Ohio,OH,102,0,42126,0,0,242.131
"Gallia County, Ohio",Gallia County,Ohio,OH,37,1,29898,2.703,3.345,123.754
"Geauga County, Ohio",Geauga County,Ohio,OH,474,43,93649,9.072,45.916,506.145
"Greene County, Ohio",Greene County,Ohio,OH,503,10,168937,1.988,5.919,297.744
"Guernsey County, Ohio",Guernsey County,Ohio,OH,90,6,38875,6.667,15.434,231.511
"Hamilton County, Ohio",Hamilton County,Ohio,OH,8071,220,817473,2.726,26.912,987.311
"Hancock County, Ohio",Hancock County,Ohio,OH,148,2,75783,1.351,2.639,195.294
"Hardin County, Ohio",Hardin County,Ohio,OH,140,12,31365,8.571,38.259,446.357
"Harrison County, Ohio",Harrison County,Ohio,OH,14,1,15040,7.143,6.649,93.085
"Henry County, Ohio",Henry County,Ohio,OH,78,0,27006,0,0,288.825
"Highland County, Ohio",Highland County,Ohio,OH,83,1,43161,1.205,2.317,192.303
"Hocking County, Ohio",Hocking County,Ohio,OH,98,9,28264,9.184,31.843,346.731
"Holmes County, Ohio",Holmes County,Ohio,OH,297,5,43960,1.684,11.374,675.614
"Huron County, Ohio",Huron County,Ohio,OH,311,3,58266,0.965,5.149,533.759
"Jackson County, Ohio",Jackson County,Ohio,OH,49,0,32413,0,0,151.174
"Jefferson County, Ohio",Jefferson County,Ohio,OH,162,2,65325,1.235,3.062,247.991
"Knox County, Ohio",Knox County,Ohio,OH,95,2,62322,2.105,3.209,152.434
"Lake County, Ohio",Lake County,Ohio,OH,837,25,230149,2.987,10.863,363.677
"Lawrence County, Ohio",Lawrence County,Ohio,OH,162,0,59463,0,0,272.438
"Licking County, Ohio",Licking County,Ohio,OH,808,17,176862,2.104,9.612,456.853
"Logan County, Ohio",Logan County,Ohio,OH,91,1,45672,1.099,2.19,199.247
"Lorain County, Ohio",Lorain County,Ohio,OH,1375,75,309833,5.455,24.207,443.787
"Lucas County, Ohio",Lucas County,Ohio,OH,3742,308,428348,8.231,71.904,873.589
"Madison County, Ohio",Madison County,Ohio,OH,259,9,44731,3.475,20.12,579.017
"Mahoning County, Ohio",Mahoning County,Ohio,OH,2187,247,228683,11.294,108.01,956.346
"Marion County, Ohio",Marion County,Ohio,OH,2805,41,65093,1.462,62.987,4309.219
"Medina County, Ohio",Medina County,Ohio,OH,709,32,179746,4.513,17.803,394.445
"Meigs County, Ohio",Meigs County,Ohio,OH,20,0,22907,0,0,87.31
"Mercer County, Ohio",Mercer County,Ohio,OH,379,11,41172,2.902,26.717,920.529
"Miami County, Ohio",Miami County,Ohio,OH,599,33,106987,5.509,30.845,559.881
"Monroe County, Ohio",Monroe County,Ohio,OH,89,17,13654,19.101,124.506,651.824
"Montgomery County, Ohio",Montgomery County,Ohio,OH,3200,50,531687,1.562,9.404,601.858
"Morgan County, Ohio",Morgan County,Ohio,OH,15,0,14508,0,0,103.391
"Morrow County, Ohio",Morrow County,Ohio,OH,138,1,35328,0.725,2.831,390.625
"Muskingum County, Ohio",Muskingum County,Ohio,OH,125,1,86215,0.8,1.16,144.986
"Noble County, Ohio",Noble County,Ohio,OH,16,0,14424,0,0,110.926
"Ottawa County, Ohio",Ottawa County,Ohio,OH,277,24,40525,8.664,59.223,683.529
"Paulding County, Ohio",Paulding County,Ohio,OH,46,0,18672,0,0,246.358
"Perry County, Ohio",Perry County,Ohio,OH,63,1,36134,1.587,2.767,174.351
"Pickaway County, Ohio",Pickaway County,Ohio,OH,2290,42,58457,1.834,71.848,3917.409
"Pike County, Ohio",Pike County,Ohio,OH,43,0,27772,0,0,154.832
"Portage County, Ohio",Portage County,Ohio,OH,586,59,162466,10.068,36.315,360.691
"Preble County, Ohio",Preble County,Ohio,OH,114,2,40882,1.754,4.892,278.851
"Putnam County, Ohio",Putnam County,Ohio,OH,165,16,33861,9.697,47.252,487.286
"Richland County, Ohio",Richland County,Ohio,OH,461,8,121154,1.735,6.603,380.507
"Ross County, Ohio",Ross County,Ohio,OH,212,5,76666,2.358,6.522,276.524
"Sandusky County, Ohio",Sandusky County,Ohio,OH,240,15,58518,6.25,25.633,410.13
"Scioto County, Ohio",Scioto County,Ohio,OH,110,0,75314,0,0,146.055
"Seneca County, Ohio",Seneca County,Ohio,OH,88,2,55178,2.273,3.625,159.484
"Shelby County, Ohio",Shelby County,Ohio,OH,96,4,48590,4.167,8.232,197.572
"Stark County, Ohio",Stark County,Ohio,OH,1412,121,370606,8.569,32.649,380.998
"Summit County, Ohio",Summit County,Ohio,OH,2712,212,541013,7.817,39.186,501.282
"Trumbull County, Ohio",Trumbull County,Ohio,OH,1210,85,197974,7.025,42.935,611.191
"Tuscarawas County, Ohio",Tuscarawas County,Ohio,OH,694,11,91987,1.585,11.958,754.454
"Union County, Ohio",Union County,Ohio,OH,162,1,58988,0.617,1.695,274.632
"Van Wert County, Ohio",Van Wert County,Ohio,OH,58,1,28275,1.724,3.537,205.128
"Vinton County, Ohio",Vinton County,Ohio,OH,25,2,13085,8,15.285,191.058
"Warren County, Ohio",Warren County,Ohio,OH,1307,28,234602,2.142,11.935,557.114
"Washington County, Ohio",Washington County,Ohio,OH,171,21,59911,12.281,35.052,285.423
"Wayne County, Ohio",Wayne County,Ohio,OH,418,57,115710,13.636,49.261,361.248
"Williams County, Ohio",Williams County,Ohio,OH,96,3,36692,3.125,8.176,261.637
"Wood County, Ohio",Wood County,Ohio,OH,648,54,130817,8.333,41.279,495.348
"Wyandot County, Ohio",Wyandot County,Ohio,OH,74,5,21772,6.757,22.965,339.886
"Statewide Unallocated, Wisconsin",Statewide Unallocated,Wisconsin,WI,0,0,0,NA,NA,NA
"Adams County, Wisconsin",Adams County,Wisconsin,WI,54,2,20220,3.704,9.891,267.062
