NAME,County,State,variable,estimate,label
"Brown County, Illinois",Brown, Illinois,B19101_005,57,"$20,000 to $24,999"
"Brown County, Illinois",Brown, Illinois,B19101_006,35,"$25,000 to $29,999"
"Brown County, Illinois",Brown, Illinois,B19101_007,40,"$30,000 to $34,999"
"Brown County, Illinois",Brown, Illinois,B19101_008,35,"$35,000 to $39,999"
"Brown County, Illinois",Brown, Illinois,B19101_009,61,"$40,000 to $44,999"
"Brown County, Illinois",Brown, Illinois,B19101_010,34,"$45,000 to $49,999"
"Brown County, Illinois",Brown, Illinois,B19101_011,149,"$50,000 to $59,999"
"Brown County, Illinois",Brown, Illinois,B19101_012,139,"$60,000 to $74,999"
"Brown County, Illinois",Brown, Illinois,B19101_013,293,"$75,000 to $99,999"
"Brown County, Illinois",Brown, Illinois,B19101_014,175,"$100,000 to $124,999"
"Brown County, Illinois",Brown, Illinois,B19101_015,90,"$125,000 to $149,999"
"Brown County, Illinois",Brown, Illinois,B19101_016,54,"$150,000 to $199,999"
"Brown County, Illinois",Brown, Illinois,B19101_017,50,"$200,000 or more"
"Bureau County, Illinois",Bureau, Illinois,B19101_002,306,"Less than $10,000"
"Bureau County, Illinois",Bureau, Illinois,B19101_003,211,"$10,000 to $14,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_004,333,"$15,000 to $19,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_005,422,"$20,000 to $24,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_006,362,"$25,000 to $29,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_007,367,"$30,000 to $34,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_008,513,"$35,000 to $39,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_009,435,"$40,000 to $44,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_010,366,"$45,000 to $49,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_011,797,"$50,000 to $59,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_012,1175,"$60,000 to $74,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_013,1633,"$75,000 to $99,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_014,1222,"$100,000 to $124,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_015,473,"$125,000 to $149,999"
"Bureau County, Illinois",Bureau, Illinois,B19101_016,487,"$150,000 to $199,999"
