NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Ashland County, Wisconsin",Ashland County,Wisconsin,WI,11,0,15562,0,0,70.68500192777279
"Barron County, Wisconsin",Barron County,Wisconsin,WI,82,2,45244,2.4390243902439024,4.420475643179206,181.23950137034743
"Bayfield County, Wisconsin",Bayfield County,Wisconsin,WI,14,1,15036,7.142857142857142,6.650704974727321,93.10986964618249
"Brown County, Wisconsin",Brown County,Wisconsin,WI,3629,47,264542,1.295122623312207,17.76655502717905,1371.804855183676
"Buffalo County, Wisconsin",Buffalo County,Wisconsin,WI,28,2,13031,7.142857142857142,15.348016268897245,214.87222776456144
"Burnett County, Wisconsin",Burnett County,Wisconsin,WI,6,1,15414,16.666666666666664,6.48760866744518,38.92565200467108
"Calumet County, Wisconsin",Calumet County,Wisconsin,WI,192,2,50089,1.0416666666666665,3.9928926510810756,383.31769450378323
"Chippewa County, Wisconsin",Chippewa County,Wisconsin,WI,172,0,64658,0,0,266.0150329425593
"Clark County, Wisconsin",Clark County,Wisconsin,WI,147,7,34774,4.761904761904762,20.12998217058722,422.72962558233166
"Columbia County, Wisconsin",Columbia County,Wisconsin,WI,171,1,57532,0.5847953216374269,1.7381631092261696,297.225891677675
"Crawford County, Wisconsin",Crawford County,Wisconsin,WI,49,0,16131,0,0,303.7629409212076
"Dane County, Wisconsin",Dane County,Wisconsin,WI,3633,33,546695,0.9083402146985963,6.036272510266237,664.5387281756739
"Dodge County, Wisconsin",Dodge County,Wisconsin,WI,584,5,87839,0.8561643835616438,5.692232379694669,664.8527419483373
"Door County, Wisconsin",Door County,Wisconsin,WI,75,3,27668,4,10.842850946942317,271.07127367355787
"Douglas County, Wisconsin",Douglas County,Wisconsin,WI,77,0,43150,0,0,178.44727694090383
"Dunn County, Wisconsin",Dunn County,Wisconsin,WI,74,0,45368,0,0,163.110562511021
"Eau Claire County, Wisconsin",Eau Claire County,Wisconsin,WI,409,2,104646,0.4889975550122249,1.9112053972440417,390.84150373640654
"Florence County, Wisconsin",Florence County,Wisconsin,WI,5,0,4295,0,0,116.41443538998836
"Fond du Lac County, Wisconsin",Fond du Lac County,Wisconsin,WI,458,6,103403,1.3100436681222707,5.802539578155373,442.92718779919346
"Forest County, Wisconsin",Forest County,Wisconsin,WI,51,4,9004,7.8431372549019605,44.4247001332741,566.4149266992448
"Grant County, Wisconsin",Grant County,Wisconsin,WI,256,14,51439,5.46875,27.216703279612744,497.67685997006157
"Green County, Wisconsin",Green County,Wisconsin,WI,118,1,36960,0.847457627118644,2.705627705627706,319.2640692640693
"Green Lake County, Wisconsin",Green Lake County,Wisconsin,WI,49,0,18913,0,0,259.08105535874796
"Iowa County, Wisconsin",Iowa County,Wisconsin,WI,54,0,23678,0,0,228.0598023481713
"Iron County, Wisconsin",Iron County,Wisconsin,WI,37,1,5687,2.7027027027027026,17.583963425356075,650.6066467381747
"Jackson County, Wisconsin",Jackson County,Wisconsin,WI,37,1,20643,2.7027027027027026,4.844257133168629,179.23751392723926
"Jefferson County, Wisconsin",Jefferson County,Wisconsin,WI,449,4,84769,0.8908685968819599,4.718706130778941,529.674763179936
"Juneau County, Wisconsin",Juneau County,Wisconsin,WI,80,1,26687,1.25,3.747142803612246,299.7714242889797
"Kenosha County, Wisconsin",Kenosha County,Wisconsin,WI,2102,47,169561,2.235965746907707,27.71863813023042,1239.6718585051988
"Kewaunee County, Wisconsin",Kewaunee County,Wisconsin,WI,93,1,20434,1.0752688172043012,4.893804443574435,455.1238132524224
"La Crosse County, Wisconsin",La Crosse County,Wisconsin,WI,685,1,118016,0.145985401459854,0.8473427331887202,580.4297722342733
"Lafayette County, Wisconsin",Lafayette County,Wisconsin,WI,87,0,16665,0,0,522.0522052205221
"Langlade County, Wisconsin",Langlade County,Wisconsin,WI,13,1,19189,7.6923076923076925,5.211318984835062,67.7471468028558
"Lincoln County, Wisconsin",Lincoln County,Wisconsin,WI,46,0,27593,0,0,166.70894792157432
"Manitowoc County, Wisconsin",Manitowoc County,Wisconsin,WI,212,1,78981,0.4716981132075472,1.266127296438384,268.4189868449374
"Marathon County, Wisconsin",Marathon County,Wisconsin,WI,410,3,135692,0.7317073170731708,2.2108893670960703,302.1548801697963
"Marinette County, Wisconsin",Marinette County,Wisconsin,WI,196,3,40350,1.530612244897959,7.434944237918216,485.74969021065675
"Marquette County, Wisconsin",Marquette County,Wisconsin,WI,60,1,15574,1.6666666666666667,6.420958006934635,385.25748041607807
"Menominee County, Wisconsin",Menominee County,Wisconsin,WI,10,0,4556,0,0,219.49078138718176
"Milwaukee County, Wisconsin",Milwaukee County,Wisconsin,WI,16777,417,945726,2.4855456875484294,44.093109420699015,1773.98104736467
